InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,Ratio
100000,0.1,3,0.97,9896,6822,6432,0.689,0.65,0.80000000000000038
100000,0.1,2,0.97,9896,5054,4827,0.511,0.488,0.80000000000000038
100000,0.1,1,0.97,9896,0,0,0.0,0.0,0.80000000000000038
100000,0.1,11,0.97,9885,2359,2336,0.239,0.236,0.77500000000000036
100000,0.1,10,0.97,9885,2855,2828,0.289,0.286,0.77500000000000036
100000,0.1,9,0.97,9885,3513,3468,0.355,0.351,0.77500000000000036
100000,0.1,8,0.97,9885,4177,4106,0.423,0.415,0.77500000000000036
100000,0.1,7,0.97,9885,4912,4819,0.497,0.487,0.77500000000000036
100000,0.1,6,0.97,9885,5653,5531,0.572,0.559,0.77500000000000036
100000,0.1,5,0.97,9885,6275,6091,0.635,0.616,0.77500000000000036
100000,0.1,4,0.97,9885,6729,6327,0.681,0.64,0.77500000000000036
100000,0.1,3,0.97,9885,6521,6110,0.66,0.618,0.77500000000000036
100000,0.1,2,0.97,9885,4725,4472,0.478,0.452,0.77500000000000036
100000,0.1,1,0.97,9885,0,0,0.0,0.0,0.77500000000000036
100000,0.1,11,0.97,10111,2165,2138,0.214,0.211,0.75000000000000033
100000,0.1,10,0.97,10111,2692,2662,0.266,0.263,0.75000000000000033
100000,0.1,9,0.97,10111,3259,3221,0.322,0.319,0.75000000000000033
100000,0.1,8,0.97,10111,3951,3900,0.391,0.386,0.75000000000000033
100000,0.1,7,0.97,10111,4740,4659,0.469,0.461,0.75000000000000033
100000,0.1,6,0.97,10111,5536,5412,0.548,0.535,0.75000000000000033
100000,0.1,5,0.97,10111,6190,5997,0.612,0.593,0.75000000000000033
100000,0.1,4,0.97,10111,6617,6184,0.654,0.612,0.75000000000000033
100000,0.1,3,0.97,10111,6452,6031,0.638,0.596,0.75000000000000033
100000,0.1,2,0.97,10111,4742,4448,0.469,0.44,0.75000000000000033
100000,0.1,1,0.97,10111,0,0,0.0,0.0,0.75000000000000033
100000,0.1,11,0.97,10019,2075,2056,0.207,0.205,0.72500000000000031
100000,0.1,10,0.97,10019,2647,2630,0.264,0.262,0.72500000000000031
100000,0.1,9,0.97,10019,3159,3127,0.315,0.312,0.72500000000000031
100000,0.1,8,0.97,10019,3854,3794,0.385,0.379,0.72500000000000031
100000,0.1,7,0.97,10019,4561,4480,0.455,0.447,0.72500000000000031
100000,0.1,6,0.97,10019,5220,5125,0.521,0.511,0.72500000000000031
100000,0.1,5,0.97,10019,5815,5667,0.58,0.566,0.72500000000000031
100000,0.1,4,0.97,10019,6299,5885,0.629,0.587,0.72500000000000031
100000,0.1,3,0.97,10019,6264,5800,0.625,0.579,0.72500000000000031
100000,0.1,2,0.97,10019,4658,4335,0.465,0.433,0.72500000000000031
100000,0.1,1,0.97,10019,0,0,0.0,0.0,0.72500000000000031
100000,0.1,11,0.97,10175,1891,1881,0.186,0.185,0.70000000000000029
100000,0.1,10,0.97,10175,2510,2493,0.247,0.245,0.70000000000000029
100000,0.1,9,0.97,10175,3077,3049,0.302,0.3,0.70000000000000029
100000,0.1,8,0.97,10175,3725,3685,0.366,0.362,0.70000000000000029
100000,0.1,7,0.97,10175,4395,4333,0.432,0.426,0.70000000000000029
100000,0.1,6,0.97,10175,5114,5025,0.503,0.494,0.70000000000000029
100000,0.1,5,0.97,10175,5802,5645,0.57,0.555,0.70000000000000029
100000,0.1,4,0.97,10175,6224,5831,0.612,0.573,0.70000000000000029
100000,0.1,3,0.97,10175,6160,5700,0.605,0.56,0.70000000000000029
100000,0.1,2,0.97,10175,4601,4268,0.452,0.419,0.70000000000000029
100000,0.1,1,0.97,10175,0,0,0.0,0.0,0.70000000000000029
100000,0.1,11,0.97,10010,1728,1716,0.173,0.171,0.67500000000000027
100000,0.1,10,0.97,10010,2285,2267,0.228,0.226,0.67500000000000027
100000,0.1,9,0.97,10010,2819,2796,0.282,0.279,0.67500000000000027
100000,0.1,8,0.97,10010,3379,3347,0.338,0.334,0.67500000000000027
100000,0.1,7,0.97,10010,4104,4046,0.41,0.404,0.67500000000000027
100000,0.1,6,0.97,10010,4811,4716,0.481,0.471,0.67500000000000027
100000,0.1,5,0.97,10010,5514,5335,0.551,0.533,0.67500000000000027
100000,0.1,4,0.97,10010,5926,5522,0.592,0.552,0.67500000000000027
100000,0.1,3,0.97,10010,5872,5437,0.587,0.543,0.67500000000000027
100000,0.1,2,0.97,10010,4421,4061,0.442,0.406,0.67500000000000027
100000,0.1,1,0.97,10010,0,0,0.0,0.0,0.67500000000000027
100000,0.1,11,0.97,9957,1676,1664,0.168,0.167,0.65000000000000024
100000,0.1,10,0.97,9957,2255,2234,0.226,0.224,0.65000000000000024
100000,0.1,9,0.97,9957,2837,2805,0.285,0.282,0.65000000000000024
100000,0.1,8,0.97,9957,3356,3306,0.337,0.332,0.65000000000000024
100000,0.1,7,0.97,9957,4039,3974,0.406,0.399,0.65000000000000024
100000,0.1,6,0.97,9957,4657,4565,0.468,0.458,0.65000000000000024
100000,0.1,5,0.97,9957,5270,5118,0.529,0.514,0.65000000000000024
100000,0.1,4,0.97,9957,5752,5320,0.578,0.534,0.65000000000000024
100000,0.1,3,0.97,9957,5788,5270,0.581,0.529,0.65000000000000024
100000,0.1,2,0.97,9957,4363,3965,0.438,0.398,0.65000000000000024
100000,0.1,1,0.97,9957,0,0,0.0,0.0,0.65000000000000024
100000,0.1,11,0.97,10016,1422,1403,0.142,0.14,0.62500000000000022
100000,0.1,10,0.97,10016,1937,1915,0.193,0.191,0.62500000000000022
100000,0.1,9,0.97,10016,2537,2501,0.253,0.25,0.62500000000000022
100000,0.1,8,0.97,10016,3076,3030,0.307,0.302,0.62500000000000022
100000,0.1,7,0.97,10016,3649,3580,0.364,0.357,0.62500000000000022
100000,0.1,6,0.97,10016,4300,4202,0.429,0.419,0.62500000000000022
100000,0.1,5,0.97,10016,4874,4721,0.487,0.471,0.62500000000000022
100000,0.1,4,0.97,10016,5377,4991,0.537,0.498,0.62500000000000022
100000,0.1,3,0.97,10016,5452,4909,0.544,0.49,0.62500000000000022
100000,0.1,2,0.97,10016,4056,3618,0.405,0.361,0.62500000000000022
100000,0.1,1,0.97,10016,0,0,0.0,0.0,0.62500000000000022
100000,0.1,11,0.97,9967,1345,1328,0.135,0.133,0.6000000000000002
100000,0.1,10,0.97,9967,1753,1729,0.176,0.173,0.6000000000000002
100000,0.1,9,0.97,9967,2344,2313,0.235,0.232,0.6000000000000002
100000,0.1,8,0.97,9967,2937,2901,0.295,0.291,0.6000000000000002
100000,0.1,7,0.97,9967,3438,3394,0.345,0.34,0.6000000000000002
100000,0.1,6,0.97,9967,4034,3959,0.405,0.397,0.6000000000000002
100000,0.1,5,0.97,9967,4650,4515,0.467,0.453,0.6000000000000002
100000,0.1,4,0.97,9967,5202,4780,0.522,0.48,0.6000000000000002
100000,0.1,3,0.97,9967,5308,4762,0.533,0.478,0.6000000000000002
100000,0.1,2,0.97,9967,4008,3557,0.402,0.357,0.6000000000000002
100000,0.1,1,0.97,9967,0,0,0.0,0.0,0.6000000000000002
100000,0.1,11,0.97,9791,1275,1267,0.13,0.129,0.57500000000000018
100000,0.1,10,0.97,9791,1602,1591,0.164,0.162,0.57500000000000018
100000,0.1,9,0.97,9791,2125,2106,0.217,0.215,0.57500000000000018
100000,0.1,8,0.97,9791,2713,2685,0.277,0.274,0.57500000000000018
100000,0.1,7,0.97,9791,3197,3159,0.327,0.323,0.57500000000000018
100000,0.1,6,0.97,9791,3749,3679,0.383,0.376,0.57500000000000018
100000,0.1,5,0.97,9791,4281,4173,0.437,0.426,0.57500000000000018
100000,0.1,4,0.97,9791,4844,4481,0.495,0.458,0.57500000000000018
100000,0.1,3,0.97,9791,5124,4479,0.523,0.457,0.57500000000000018
100000,0.1,2,0.97,9791,3948,3433,0.403,0.351,0.57500000000000018
100000,0.1,1,0.97,9791,0,0,0.0,0.0,0.57500000000000018
100000,0.1,11,0.97,9899,1178,1169,0.119,0.118,0.55000000000000016
100000,0.1,10,0.97,9899,1500,1486,0.152,0.15,0.55000000000000016
100000,0.1,9,0.97,9899,1898,1878,0.192,0.19,0.55000000000000016
100000,0.1,8,0.97,9899,2428,2400,0.245,0.242,0.55000000000000016
100000,0.1,7,0.97,9899,2983,2950,0.301,0.298,0.55000000000000016
100000,0.1,6,0.97,9899,3511,3453,0.355,0.349,0.55000000000000016
100000,0.1,5,0.97,9899,4098,3993,0.414,0.403,0.55000000000000016
100000,0.1,4,0.97,9899,4699,4309,0.475,0.435,0.55000000000000016
100000,0.1,3,0.97,9899,5014,4368,0.507,0.441,0.55000000000000016
100000,0.1,2,0.97,9899,3782,3284,0.382,0.332,0.55000000000000016
100000,0.1,1,0.97,9899,0,0,0.0,0.0,0.55000000000000016
100000,0.1,11,0.97,10073,1134,1121,0.113,0.111,0.52500000000000013
100000,0.1,10,0.97,10073,1419,1399,0.141,0.139,0.52500000000000013
100000,0.1,9,0.97,10073,1811,1790,0.18,0.178,0.52500000000000013
100000,0.1,8,0.97,10073,2278,2245,0.226,0.223,0.52500000000000013
100000,0.1,7,0.97,10073,2864,2822,0.284,0.28,0.52500000000000013
100000,0.1,6,0.97,10073,3471,3410,0.345,0.338,0.52500000000000013
100000,0.1,5,0.97,10073,3977,3872,0.395,0.384,0.52500000000000013
100000,0.1,4,0.97,10073,4521,4159,0.449,0.413,0.52500000000000013
100000,0.1,3,0.97,10073,4905,4215,0.487,0.418,0.52500000000000013
100000,0.1,2,0.97,10073,3719,3159,0.369,0.314,0.52500000000000013
100000,0.1,1,0.97,10073,0,0,0.0,0.0,0.52500000000000013
100000,0.1,11,0.97,10046,975,969,0.097,0.096,0.50000000000000011
100000,0.1,10,0.97,10046,1279,1267,0.127,0.126,0.50000000000000011
100000,0.1,9,0.97,10046,1630,1613,0.162,0.161,0.50000000000000011
100000,0.1,8,0.97,10046,2044,2022,0.203,0.201,0.50000000000000011
100000,0.1,7,0.97,10046,2564,2536,0.255,0.252,0.50000000000000011
100000,0.1,6,0.97,10046,3188,3146,0.317,0.313,0.50000000000000011
100000,0.1,5,0.97,10046,3744,3638,0.373,0.362,0.50000000000000011
100000,0.1,4,0.97,10046,4314,3962,0.429,0.394,0.50000000000000011
100000,0.1,3,0.97,10046,4724,4026,0.47,0.401,0.50000000000000011
100000,0.1,2,0.97,10046,3593,2987,0.358,0.297,0.50000000000000011
100000,0.1,1,0.97,10046,0,0,0.0,0.0,0.50000000000000011
100000,0.1,11,0.97,9865,976,972,0.099,0.099,0.47500000000000009
100000,0.1,10,0.97,9865,1199,1189,0.122,0.121,0.47500000000000009
100000,0.1,9,0.97,9865,1507,1495,0.153,0.152,0.47500000000000009
100000,0.1,8,0.97,9865,1846,1828,0.187,0.185,0.47500000000000009
100000,0.1,7,0.97,9865,2254,2227,0.228,0.226,0.47500000000000009
100000,0.1,6,0.97,9865,2784,2746,0.282,0.278,0.47500000000000009
100000,0.1,5,0.97,9865,3362,3275,0.341,0.332,0.47500000000000009
100000,0.1,4,0.97,9865,3949,3631,0.4,0.368,0.47500000000000009
100000,0.1,3,0.97,9865,4451,3725,0.451,0.378,0.47500000000000009
100000,0.1,2,0.97,9865,3488,2887,0.354,0.293,0.47500000000000009
100000,0.1,1,0.97,9865,0,0,0.0,0.0,0.47500000000000009
100000,0.1,11,0.97,9792,903,899,0.092,0.092,0.45000000000000007
100000,0.1,10,0.97,9792,1113,1105,0.114,0.113,0.45000000000000007
100000,0.1,9,0.97,9792,1375,1366,0.14,0.139,0.45000000000000007
100000,0.1,8,0.97,9792,1699,1683,0.174,0.172,0.45000000000000007
100000,0.1,7,0.97,9792,2040,2021,0.208,0.206,0.45000000000000007
100000,0.1,6,0.97,9792,2449,2419,0.25,0.247,0.45000000000000007
100000,0.1,5,0.97,9792,2955,2887,0.302,0.295,0.45000000000000007
100000,0.1,4,0.97,9792,3591,3336,0.367,0.341,0.45000000000000007
100000,0.1,3,0.97,9792,4134,3395,0.422,0.347,0.45000000000000007
100000,0.1,2,0.97,9792,3223,2611,0.329,0.267,0.45000000000000007
100000,0.1,1,0.97,9792,0,0,0.0,0.0,0.45000000000000007
100000,0.1,11,0.97,9945,725,718,0.073,0.072,0.42500000000000004
100000,0.1,10,0.97,9945,925,917,0.093,0.092,0.42500000000000004
100000,0.1,9,0.97,9945,1171,1160,0.118,0.117,0.42500000000000004
100000,0.1,8,0.97,9945,1470,1462,0.148,0.147,0.42500000000000004
100000,0.1,7,0.97,9945,1784,1767,0.179,0.178,0.42500000000000004
100000,0.1,6,0.97,9945,2225,2209,0.224,0.222,0.42500000000000004
100000,0.1,5,0.97,9945,2728,2673,0.274,0.269,0.42500000000000004
100000,0.1,4,0.97,9945,3371,3151,0.339,0.317,0.42500000000000004
100000,0.1,3,0.97,9945,3964,3199,0.399,0.322,0.42500000000000004
100000,0.1,2,0.97,9945,3319,2617,0.334,0.263,0.42500000000000004
100000,0.1,1,0.97,9945,0,0,0.0,0.0,0.42500000000000004
100000,0.1,11,0.97,9841,476,474,0.048,0.048,0.40000000000000002
100000,0.1,10,0.97,9841,633,629,0.064,0.064,0.40000000000000002
100000,0.1,9,0.97,9841,846,838,0.086,0.085,0.40000000000000002
100000,0.1,8,0.97,9841,1075,1067,0.109,0.108,0.40000000000000002
100000,0.1,7,0.97,9841,1500,1486,0.152,0.151,0.40000000000000002
100000,0.1,6,0.97,9841,1884,1868,0.191,0.19,0.40000000000000002
100000,0.1,5,0.97,9841,2298,2270,0.234,0.231,0.40000000000000002
100000,0.1,4,0.97,9841,2747,2645,0.279,0.269,0.40000000000000002
100000,0.1,3,0.97,9841,3346,2725,0.34,0.277,0.40000000000000002
100000,0.1,2,0.97,9841,2975,2324,0.302,0.236,0.40000000000000002
100000,0.1,1,0.97,9841,0,0,0.0,0.0,0.40000000000000002
