InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,net Correction,Coverage Depth,Ratio,Alpha,DudeWin
0,0.05,6,-1.0,466,196,560,0.42,0.422,10,-1,20,0
0,0.05,5,-1.0,466,257,660,0.55,0.458,10,-1,20,0
0,0.05,9,-1.0,1195,398,1061,0.333,0.334,26,-1,16,0
0,0.05,8,-1.0,1195,438,1202,0.366,0.367,26,-1,16,0
0,0.05,7,-1.0,1195,481,1326,0.402,0.403,26,-1,16,0
0,0.05,6,-1.0,1195,552,1531,0.462,0.457,26,-1,16,0
0,0.05,5,-1.0,1195,675,1711,0.564,0.467,26,-1,16,0
0,0.05,9,-1.0,862,306,828,0.355,0.356,18,-1,16,0
0,0.05,8,-1.0,862,350,942,0.406,0.407,18,-1,16,0
0,0.05,7,-1.0,862,397,1088,0.46,0.457,18,-1,16,0
0,0.05,6,-1.0,862,439,1204,0.509,0.501,18,-1,16,0
0,0.05,5,-1.0,862,535,1363,0.62,0.523,18,-1,16,0
0,0.05,9,-1.0,471,155,417,0.328,0.331,10,-1,16,0
0,0.05,8,-1.0,471,167,452,0.354,0.356,10,-1,16,0
0,0.05,7,-1.0,471,203,558,0.43,0.432,10,-1,16,0
0,0.05,6,-1.0,471,232,639,0.492,0.485,10,-1,16,0
0,0.05,5,-1.0,471,274,684,0.581,0.487,10,-1,16,0
0,0.05,9,-1.0,1254,373,998,0.297,0.298,26,-1,12,0
0,0.05,8,-1.0,1254,451,1197,0.359,0.36,26,-1,12,0
0,0.05,7,-1.0,1254,513,1375,0.409,0.406,26,-1,12,0
0,0.05,6,-1.0,1254,595,1616,0.474,0.464,26,-1,12,0
0,0.05,5,-1.0,1254,736,1751,0.586,0.452,26,-1,12,0
0,0.05,9,-1.0,905,267,699,0.295,0.296,18,-1,12,0
0,0.05,8,-1.0,905,299,790,0.33,0.331,18,-1,12,0
0,0.05,7,-1.0,905,334,882,0.369,0.368,18,-1,12,0
0,0.05,6,-1.0,905,407,1083,0.449,0.44,18,-1,12,0
0,0.05,5,-1.0,905,504,1195,0.556,0.425,18,-1,12,0
0,0.05,9,-1.0,451,144,366,0.319,0.321,10,-1,12,0
0,0.05,8,-1.0,451,172,456,0.381,0.383,10,-1,12,0
0,0.05,7,-1.0,451,199,529,0.44,0.442,10,-1,12,0
0,0.05,6,-1.0,451,213,567,0.471,0.473,10,-1,12,0
0,0.05,5,-1.0,451,253,614,0.56,0.469,10,-1,12,0
0,0.05,9,-1.0,1198,386,947,0.322,0.323,26,-1,8,0
0,0.05,8,-1.0,1198,438,1103,0.365,0.364,26,-1,8,0
0,0.05,7,-1.0,1198,518,1358,0.432,0.428,26,-1,8,0
0,0.05,6,-1.0,1198,593,1535,0.495,0.473,26,-1,8,0
0,0.05,5,-1.0,1198,829,1676,0.691,0.389,26,-1,8,0
0,0.05,9,-1.0,836,270,679,0.323,0.324,18,-1,8,0
0,0.05,8,-1.0,836,300,751,0.358,0.36,18,-1,8,0
0,0.05,7,-1.0,836,349,882,0.417,0.417,18,-1,8,0
0,0.05,6,-1.0,836,389,1007,0.465,0.448,18,-1,8,0
0,0.05,5,-1.0,836,537,1098,0.642,0.401,18,-1,8,0
0,0.05,9,-1.0,464,134,345,0.288,0.29,10,-1,8,0
0,0.05,8,-1.0,464,153,392,0.329,0.331,10,-1,8,0
0,0.05,7,-1.0,464,174,441,0.374,0.376,10,-1,8,0
0,0.05,6,-1.0,464,206,511,0.443,0.424,10,-1,8,0
0,0.05,5,-1.0,464,279,556,0.6,0.34,10,-1,8,0
0,0.05,9,-1.0,1209,376,902,0.311,0.312,26,-1,4,0
0,0.05,8,-1.0,1209,428,1055,0.354,0.355,26,-1,4,0
0,0.05,7,-1.0,1209,488,1185,0.403,0.393,26,-1,4,0
0,0.05,6,-1.0,1209,575,1306,0.475,0.41,26,-1,4,0
0,0.05,5,-1.0,1209,1163,1516,0.961,0.102,26,-1,4,0
0,0.05,9,-1.0,874,268,583,0.306,0.307,18,-1,4,0
0,0.05,8,-1.0,874,308,711,0.352,0.351,18,-1,4,0
0,0.05,7,-1.0,874,359,873,0.41,0.405,18,-1,4,0
0,0.05,6,-1.0,874,450,1001,0.514,0.418,18,-1,4,0
0,0.05,5,-1.0,874,892,1082,1.019,0.053,18,-1,4,0
0,0.05,9,-1.0,458,146,296,0.318,0.32,10,-1,4,0
0,0.05,8,-1.0,458,174,357,0.379,0.381,10,-1,4,0
0,0.05,7,-1.0,458,184,395,0.401,0.403,10,-1,4,0
0,0.05,6,-1.0,458,247,524,0.538,0.46,10,-1,4,0
0,0.05,5,-1.0,458,495,601,1.078,0.033,10,-1,4,0
0,0.05,9,-1.0,1244,504,901,0.405,0.32,26,-1,0,0
0,0.05,8,-1.0,1244,575,1015,0.462,0.353,26,-1,0,0
0,0.05,7,-1.0,1244,704,1214,0.565,0.4,26,-1,0,0
0,0.05,6,-1.0,1244,1075,1388,0.863,0.22,26,-1,0,0
0,0.05,5,-1.0,1244,3710,1664,2.98,-1.676,26,-1,0,0
0,0.05,9,-1.0,894,340,632,0.38,0.327,18,-1,0,0
0,0.05,8,-1.0,894,396,734,0.442,0.38,18,-1,0,0
0,0.05,7,-1.0,894,471,830,0.526,0.406,18,-1,0,0
0,0.05,6,-1.0,894,747,930,0.835,0.216,18,-1,0,0
0,0.05,5,-1.0,894,2863,1093,3.199,-1.896,18,-1,0,0
0,0.05,9,-1.0,482,167,304,0.346,0.286,10,-1,0,0
0,0.05,8,-1.0,482,193,358,0.4,0.344,10,-1,0,0
0,0.05,7,-1.0,482,226,390,0.468,0.344,10,-1,0,0
0,0.05,6,-1.0,482,441,474,0.913,0.085,10,-1,0,0
0,0.05,5,-1.0,482,1888,514,3.909,-2.718,10,-1,0,0
0,0.05,9,-1.0,1273,225,826,0.177,0.177,26,-1,44,0
0,0.05,8,-1.0,1273,267,972,0.21,0.21,26,-1,44,0
0,0.05,7,-1.0,1273,307,1111,0.241,0.242,26,-1,44,0
0,0.05,6,-1.0,1273,356,1269,0.279,0.277,26,-1,44,0
0,0.05,5,-1.0,1273,396,1374,0.311,0.29,26,-1,44,0
0,0.05,9,-1.0,870,143,535,0.164,0.165,18,-1,44,0
0,0.05,8,-1.0,870,164,616,0.188,0.189,18,-1,44,0
0,0.05,7,-1.0,870,204,753,0.234,0.235,18,-1,44,0
0,0.05,6,-1.0,870,248,904,0.285,0.284,18,-1,44,0
0,0.05,5,-1.0,870,281,992,0.323,0.288,18,-1,44,0
0,0.05,9,-1.0,491,77,290,0.157,0.159,10,-1,44,0
0,0.05,8,-1.0,491,89,338,0.181,0.183,10,-1,44,0
0,0.05,7,-1.0,491,106,393,0.215,0.217,10,-1,44,0
0,0.05,6,-1.0,491,121,445,0.246,0.248,10,-1,44,0
0,0.05,5,-1.0,491,144,502,0.293,0.258,10,-1,44,0
0,0.05,9,-1.0,1233,247,859,0.2,0.201,26,-1,40,0
0,0.05,8,-1.0,1233,289,996,0.234,0.235,26,-1,40,0
0,0.05,7,-1.0,1233,331,1141,0.268,0.267,26,-1,40,0
0,0.05,6,-1.0,1233,423,1414,0.343,0.34,26,-1,40,0
0,0.05,5,-1.0,1233,439,1483,0.356,0.345,26,-1,40,0
0,0.05,9,-1.0,820,164,560,0.2,0.201,18,-1,40,0
0,0.05,8,-1.0,820,173,624,0.211,0.212,18,-1,40,0
0,0.05,7,-1.0,820,217,747,0.264,0.266,18,-1,40,0
0,0.05,6,-1.0,820,256,884,0.312,0.311,18,-1,40,0
0,0.05,5,-1.0,820,311,1023,0.379,0.353,18,-1,40,0
0,0.05,9,-1.0,455,81,291,0.178,0.18,10,-1,40,0
0,0.05,8,-1.0,455,102,361,0.224,0.226,10,-1,40,0
0,0.05,7,-1.0,455,125,430,0.274,0.276,10,-1,40,0
0,0.05,6,-1.0,455,139,484,0.305,0.303,10,-1,40,0
0,0.05,5,-1.0,455,153,526,0.336,0.325,10,-1,40,0
0,0.05,9,-1.0,1262,240,795,0.19,0.191,26,-1,36,0
0,0.05,8,-1.0,1262,310,1001,0.245,0.246,26,-1,36,0
0,0.05,7,-1.0,1262,366,1188,0.29,0.291,26,-1,36,0
0,0.05,6,-1.0,1262,431,1399,0.341,0.339,26,-1,36,0
0,0.05,5,-1.0,1262,497,1558,0.394,0.369,26,-1,36,0
0,0.05,9,-1.0,844,183,600,0.217,0.218,18,-1,36,0
0,0.05,8,-1.0,844,212,698,0.251,0.252,18,-1,36,0
0,0.05,7,-1.0,844,259,844,0.307,0.308,18,-1,36,0
0,0.05,6,-1.0,844,297,966,0.351,0.353,18,-1,36,0
0,0.05,5,-1.0,844,316,1015,0.374,0.35,18,-1,36,0
0,0.05,9,-1.0,486,84,296,0.172,0.175,10,-1,36,0
0,0.05,8,-1.0,486,98,339,0.201,0.203,10,-1,36,0
0,0.05,7,-1.0,486,138,472,0.283,0.285,10,-1,36,0
0,0.05,6,-1.0,486,163,537,0.335,0.322,10,-1,36,0
0,0.05,5,-1.0,486,189,586,0.388,0.337,10,-1,36,0
0,0.05,9,-1.0,1283,316,989,0.246,0.247,26,-1,32,0
0,0.05,8,-1.0,1283,366,1142,0.285,0.286,26,-1,32,0
0,0.05,7,-1.0,1283,439,1356,0.342,0.343,26,-1,32,0
0,0.05,6,-1.0,1283,499,1546,0.389,0.389,26,-1,32,0
0,0.05,5,-1.0,1283,576,1734,0.449,0.421,26,-1,32,0
0,0.05,9,-1.0,825,202,641,0.245,0.246,18,-1,32,0
0,0.05,8,-1.0,825,257,800,0.311,0.312,18,-1,32,0
0,0.05,7,-1.0,825,291,907,0.352,0.354,18,-1,32,0
0,0.05,6,-1.0,825,345,1067,0.418,0.416,18,-1,32,0
0,0.05,5,-1.0,825,392,1172,0.475,0.432,18,-1,32,0
0,0.05,9,-1.0,487,118,367,0.242,0.244,10,-1,32,0
0,0.05,8,-1.0,487,132,416,0.27,0.273,10,-1,32,0
0,0.05,7,-1.0,487,153,480,0.314,0.316,10,-1,32,0
0,0.05,6,-1.0,487,185,570,0.379,0.381,10,-1,32,0
0,0.05,5,-1.0,487,219,644,0.449,0.41,10,-1,32,0
0,0.05,9,-1.0,1242,325,975,0.261,0.262,26,-1,28,0
0,0.05,8,-1.0,1242,376,1129,0.302,0.303,26,-1,28,0
0,0.05,7,-1.0,1242,451,1360,0.363,0.364,26,-1,28,0
0,0.05,6,-1.0,1242,510,1534,0.41,0.411,26,-1,28,0
0,0.05,5,-1.0,1242,622,1769,0.5,0.449,26,-1,28,0
0,0.05,9,-1.0,854,210,632,0.246,0.247,18,-1,28,0
0,0.05,8,-1.0,854,245,739,0.287,0.288,18,-1,28,0
0,0.05,7,-1.0,854,283,850,0.331,0.332,18,-1,28,0
0,0.05,6,-1.0,854,344,1030,0.402,0.401,18,-1,28,0
0,0.05,5,-1.0,854,392,1103,0.458,0.398,18,-1,28,0
0,0.05,9,-1.0,503,122,367,0.242,0.244,10,-1,28,0
0,0.05,8,-1.0,503,140,424,0.278,0.28,10,-1,28,0
0,0.05,7,-1.0,503,163,490,0.323,0.325,10,-1,28,0
0,0.05,6,-1.0,503,187,561,0.371,0.369,10,-1,28,0
0,0.05,5,-1.0,503,225,646,0.446,0.405,10,-1,28,0
0,0.05,9,-1.0,1300,342,1000,0.263,0.264,26,-1,24,0
0,0.05,8,-1.0,1300,411,1187,0.316,0.317,26,-1,24,0
0,0.05,7,-1.0,1300,477,1391,0.367,0.367,26,-1,24,0
0,0.05,6,-1.0,1300,543,1598,0.417,0.418,26,-1,24,0
0,0.05,5,-1.0,1300,656,1815,0.504,0.45,26,-1,24,0
0,0.05,9,-1.0,875,263,765,0.3,0.301,18,-1,24,0
0,0.05,8,-1.0,875,296,855,0.338,0.339,18,-1,24,0
0,0.05,7,-1.0,875,331,967,0.378,0.379,18,-1,24,0
0,0.05,6,-1.0,875,386,1127,0.441,0.442,18,-1,24,0
0,0.05,5,-1.0,875,451,1232,0.515,0.447,18,-1,24,0
0,0.05,9,-1.0,490,121,349,0.246,0.248,10,-1,24,0
0,0.05,8,-1.0,490,138,400,0.281,0.283,10,-1,24,0
0,0.05,7,-1.0,490,157,459,0.32,0.322,10,-1,24,0
0,0.05,6,-1.0,490,183,524,0.373,0.371,10,-1,24,0
0,0.05,5,-1.0,490,221,600,0.45,0.389,10,-1,24,0
0,0.05,9,-1.0,1250,366,1037,0.293,0.293,26,-1,20,0
0,0.05,8,-1.0,1250,453,1279,0.362,0.361,26,-1,20,0
0,0.05,7,-1.0,1250,511,1446,0.408,0.404,26,-1,20,0
0,0.05,6,-1.0,1250,572,1626,0.457,0.452,26,-1,20,0
0,0.05,5,-1.0,1250,659,1752,0.527,0.452,26,-1,20,0
0,0.05,9,-1.0,911,270,752,0.296,0.297,18,-1,20,0
0,0.05,8,-1.0,911,309,862,0.339,0.34,18,-1,20,0
0,0.05,7,-1.0,911,358,1000,0.393,0.394,18,-1,20,0
0,0.05,6,-1.0,911,406,1138,0.445,0.444,18,-1,20,0
0,0.05,5,-1.0,911,482,1276,0.529,0.459,18,-1,20,0
0,0.05,9,-1.0,441,130,357,0.294,0.296,10,-1,20,0
0,0.05,8,-1.0,441,148,416,0.335,0.337,10,-1,20,0
0,0.05,7,-1.0,441,171,487,0.387,0.389,10,-1,20,0
0,0.05,6,-1.0,441,194,552,0.439,0.437,10,-1,20,0
0,0.05,5,-1.0,441,237,639,0.536,0.473,10,-1,20,0
0,0.05,9,-1.0,1218,365,980,0.299,0.3,26,-1,16,0
0,0.05,8,-1.0,1218,426,1175,0.349,0.35,26,-1,16,0
0,0.05,7,-1.0,1218,493,1348,0.404,0.405,26,-1,16,0
0,0.05,6,-1.0,1218,573,1608,0.47,0.469,26,-1,16,0
0,0.05,5,-1.0,1218,698,1811,0.573,0.495,26,-1,16,0
0,0.05,9,-1.0,887,268,721,0.302,0.303,18,-1,16,0
0,0.05,8,-1.0,887,313,851,0.352,0.354,18,-1,16,0
0,0.05,7,-1.0,887,366,1009,0.412,0.413,18,-1,16,0
0,0.05,6,-1.0,887,426,1165,0.48,0.477,18,-1,16,0
0,0.05,5,-1.0,887,497,1260,0.56,0.485,18,-1,16,0
0,0.05,9,-1.0,509,154,421,0.302,0.304,10,-1,16,0
0,0.05,8,-1.0,509,184,504,0.361,0.363,10,-1,16,0
0,0.05,7,-1.0,509,211,593,0.414,0.416,10,-1,16,0
0,0.05,6,-1.0,509,246,684,0.482,0.48,10,-1,16,0
0,0.05,5,-1.0,509,277,721,0.543,0.478,10,-1,16,0
0,0.05,9,-1.0,1175,409,1075,0.348,0.349,26,-1,12,0
0,0.05,8,-1.0,1175,473,1253,0.402,0.403,26,-1,12,0
0,0.05,7,-1.0,1175,532,1417,0.452,0.45,26,-1,12,0
0,0.05,6,-1.0,1175,622,1685,0.529,0.52,26,-1,12,0
0,0.05,5,-1.0,1175,727,1790,0.618,0.514,26,-1,12,0
0,0.05,9,-1.0,850,256,656,0.301,0.302,18,-1,12,0
0,0.05,8,-1.0,850,298,790,0.35,0.351,18,-1,12,0
0,0.05,7,-1.0,850,334,884,0.392,0.394,18,-1,12,0
0,0.05,6,-1.0,850,392,1035,0.461,0.458,18,-1,12,0
0,0.05,5,-1.0,850,485,1178,0.57,0.458,18,-1,12,0
0,0.05,9,-1.0,471,164,419,0.347,0.35,10,-1,12,0
0,0.05,8,-1.0,471,200,524,0.424,0.426,10,-1,12,0
0,0.05,7,-1.0,471,217,579,0.46,0.462,10,-1,12,0
0,0.05,6,-1.0,471,239,630,0.506,0.504,10,-1,12,0
0,0.05,5,-1.0,471,277,668,0.587,0.479,10,-1,12,0
0,0.05,9,-1.0,1292,394,976,0.305,0.305,26,-1,8,0
0,0.05,8,-1.0,1292,451,1154,0.349,0.348,26,-1,8,0
0,0.05,7,-1.0,1292,507,1345,0.392,0.391,26,-1,8,0
0,0.05,6,-1.0,1292,608,1594,0.47,0.462,26,-1,8,0
0,0.05,5,-1.0,1292,837,1853,0.647,0.447,26,-1,8,0
0,0.05,9,-1.0,840,243,605,0.289,0.29,18,-1,8,0
0,0.05,8,-1.0,840,278,688,0.331,0.332,18,-1,8,0
0,0.05,7,-1.0,840,311,784,0.37,0.371,18,-1,8,0
0,0.05,6,-1.0,840,377,979,0.448,0.445,18,-1,8,0
0,0.05,5,-1.0,840,530,1114,0.63,0.404,18,-1,8,0
0,0.05,9,-1.0,426,147,365,0.344,0.347,10,-1,8,0
0,0.05,8,-1.0,426,165,405,0.386,0.389,10,-1,8,0
0,0.05,7,-1.0,426,191,464,0.447,0.445,10,-1,8,0
0,0.05,6,-1.0,426,208,494,0.487,0.466,10,-1,8,0
0,0.05,5,-1.0,426,262,541,0.614,0.398,10,-1,8,0
0,0.05,9,-1.0,1223,433,1075,0.354,0.355,26,-1,4,0
0,0.05,8,-1.0,1223,481,1201,0.393,0.394,26,-1,4,0
0,0.05,7,-1.0,1223,548,1335,0.448,0.445,26,-1,4,0
0,0.05,6,-1.0,1223,669,1504,0.547,0.471,26,-1,4,0
0,0.05,5,-1.0,1223,1159,1711,0.947,0.202,26,-1,4,0
0,0.05,9,-1.0,808,278,602,0.344,0.345,18,-1,4,0
0,0.05,8,-1.0,808,317,736,0.392,0.393,18,-1,4,0
0,0.05,7,-1.0,808,364,889,0.45,0.451,18,-1,4,0
0,0.05,6,-1.0,808,452,1045,0.559,0.471,18,-1,4,0
0,0.05,5,-1.0,808,840,1121,1.038,0.138,18,-1,4,0
0,0.05,9,-1.0,458,141,282,0.307,0.309,10,-1,4,0
0,0.05,8,-1.0,458,159,325,0.346,0.349,10,-1,4,0
0,0.05,7,-1.0,458,183,394,0.399,0.397,10,-1,4,0
0,0.05,6,-1.0,458,231,488,0.503,0.434,10,-1,4,0
0,0.05,5,-1.0,458,467,576,1.017,0.078,10,-1,4,0
0,0.05,9,-1.0,1234,512,947,0.415,0.353,26,-1,0,0
0,0.05,8,-1.0,1234,584,1087,0.473,0.405,26,-1,0,0
0,0.05,7,-1.0,1234,691,1251,0.56,0.433,26,-1,0,0
0,0.05,6,-1.0,1234,1012,1428,0.819,0.285,26,-1,0,0
0,0.05,5,-1.0,1234,3370,1700,2.729,-1.423,26,-1,0,0
0,0.05,9,-1.0,880,292,558,0.331,0.303,18,-1,0,0
0,0.05,8,-1.0,880,339,642,0.385,0.345,18,-1,0,0
0,0.05,7,-1.0,880,399,724,0.453,0.371,18,-1,0,0
0,0.05,6,-1.0,880,673,840,0.764,0.203,18,-1,0,0
0,0.05,5,-1.0,880,2441,986,2.771,-1.558,18,-1,0,0
0,0.05,9,-1.0,476,149,272,0.312,0.264,10,-1,0,0
0,0.05,8,-1.0,476,177,326,0.371,0.317,10,-1,0,0
0,0.05,7,-1.0,476,218,386,0.457,0.356,10,-1,0,0
0,0.05,6,-1.0,476,363,434,0.761,0.164,10,-1,0,0
0,0.05,5,-1.0,476,1585,483,3.323,-2.226,10,-1,0,0
0,0.05,9,-1.0,1294,220,801,0.17,0.171,26,-1,44,0
0,0.05,8,-1.0,1294,261,944,0.202,0.202,26,-1,44,0
0,0.05,7,-1.0,1294,285,1059,0.22,0.221,26,-1,44,0
0,0.05,6,-1.0,1294,339,1247,0.262,0.261,26,-1,44,0
0,0.05,5,-1.0,1294,384,1384,0.297,0.285,26,-1,44,0
0,0.05,9,-1.0,861,150,562,0.174,0.175,18,-1,44,0
0,0.05,8,-1.0,861,176,663,0.204,0.205,18,-1,44,0
0,0.05,7,-1.0,861,205,773,0.238,0.239,18,-1,44,0
0,0.05,6,-1.0,861,234,867,0.271,0.273,18,-1,44,0
0,0.05,5,-1.0,861,280,1001,0.325,0.305,18,-1,44,0
0,0.05,9,-1.0,525,88,315,0.167,0.169,10,-1,44,0
0,0.05,8,-1.0,525,94,350,0.179,0.181,10,-1,44,0
0,0.05,7,-1.0,525,117,440,0.222,0.224,10,-1,44,0
0,0.05,6,-1.0,525,139,516,0.264,0.262,10,-1,44,0
0,0.05,5,-1.0,525,157,571,0.298,0.289,10,-1,44,0
0,0.05,9,-1.0,1265,248,861,0.196,0.197,26,-1,40,0
0,0.05,8,-1.0,1265,292,1004,0.231,0.231,26,-1,40,0
0,0.05,7,-1.0,1265,337,1156,0.266,0.267,26,-1,40,0
0,0.05,6,-1.0,1265,388,1346,0.306,0.306,26,-1,40,0
0,0.05,5,-1.0,1265,448,1497,0.354,0.336,26,-1,40,0
0,0.05,9,-1.0,887,149,509,0.168,0.169,18,-1,40,0
0,0.05,8,-1.0,887,183,645,0.206,0.207,18,-1,40,0
0,0.05,7,-1.0,887,233,797,0.262,0.264,18,-1,40,0
0,0.05,6,-1.0,887,272,918,0.306,0.305,18,-1,40,0
0,0.05,5,-1.0,887,299,999,0.337,0.327,18,-1,40,0
0,0.05,9,-1.0,452,89,316,0.196,0.199,10,-1,40,0
0,0.05,8,-1.0,452,109,385,0.241,0.243,10,-1,40,0
0,0.05,7,-1.0,452,138,466,0.305,0.307,10,-1,40,0
0,0.05,6,-1.0,452,158,542,0.349,0.351,10,-1,40,0
0,0.05,5,-1.0,452,176,591,0.389,0.373,10,-1,40,0
0,0.05,9,-1.0,1249,280,912,0.224,0.225,26,-1,36,0
0,0.05,8,-1.0,1249,318,1032,0.254,0.255,26,-1,36,0
0,0.05,7,-1.0,1249,368,1195,0.294,0.295,26,-1,36,0
0,0.05,6,-1.0,1249,452,1466,0.362,0.362,26,-1,36,0
0,0.05,5,-1.0,1249,532,1662,0.426,0.395,26,-1,36,0
0,0.05,9,-1.0,825,187,617,0.226,0.228,18,-1,36,0
0,0.05,8,-1.0,825,208,691,0.252,0.253,18,-1,36,0
0,0.05,7,-1.0,825,245,810,0.297,0.298,18,-1,36,0
0,0.05,6,-1.0,825,287,937,0.347,0.349,18,-1,36,0
0,0.05,5,-1.0,825,322,1013,0.39,0.373,18,-1,36,0
0,0.05,9,-1.0,492,90,304,0.183,0.185,10,-1,36,0
0,0.05,8,-1.0,492,106,360,0.215,0.217,10,-1,36,0
0,0.05,7,-1.0,492,133,438,0.27,0.272,10,-1,36,0
0,0.05,6,-1.0,492,149,500,0.302,0.304,10,-1,36,0
0,0.05,5,-1.0,492,189,596,0.383,0.355,10,-1,36,0
0,0.05,9,-1.0,1194,293,925,0.245,0.246,26,-1,32,0
0,0.05,8,-1.0,1194,335,1063,0.28,0.281,26,-1,32,0
0,0.05,7,-1.0,1194,391,1225,0.327,0.328,26,-1,32,0
0,0.05,6,-1.0,1194,458,1430,0.383,0.381,26,-1,32,0
0,0.05,5,-1.0,1194,530,1614,0.444,0.417,26,-1,32,0
0,0.05,9,-1.0,832,186,581,0.223,0.224,18,-1,32,0
0,0.05,8,-1.0,832,211,662,0.253,0.255,18,-1,32,0
0,0.05,7,-1.0,832,250,785,0.3,0.301,18,-1,32,0
0,0.05,6,-1.0,832,305,941,0.366,0.36,18,-1,32,0
0,0.05,5,-1.0,832,358,1063,0.43,0.387,18,-1,32,0
0,0.05,9,-1.0,470,126,392,0.268,0.27,10,-1,32,0
0,0.05,8,-1.0,470,133,425,0.282,0.285,10,-1,32,0
0,0.05,7,-1.0,470,161,508,0.342,0.344,10,-1,32,0
0,0.05,6,-1.0,470,195,606,0.414,0.416,10,-1,32,0
0,0.05,5,-1.0,470,216,648,0.459,0.427,10,-1,32,0
0,0.05,9,-1.0,1254,331,993,0.264,0.265,26,-1,28,0
0,0.05,8,-1.0,1254,399,1202,0.318,0.319,26,-1,28,0
0,0.05,7,-1.0,1254,450,1354,0.359,0.359,26,-1,28,0
0,0.05,6,-1.0,1254,521,1560,0.415,0.414,26,-1,28,0
