InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,net Correction,Coverage Depth,Ratio,Alpha
0,0.05,3,-1.0,5171,13809,3645,2.67,0.705,-1.26,110,-1,1
0,0.05,9,-1.0,4400,2773,2771,0.63,0.63,0.63,95,-1,1
0,0.05,8,-1.0,4400,3024,3021,0.687,0.686,0.685,95,-1,1
0,0.05,7,-1.0,4400,3269,3264,0.743,0.742,0.741,95,-1,1
0,0.05,6,-1.0,4400,3543,3508,0.805,0.797,0.789,95,-1,1
0,0.05,5,-1.0,4400,4188,3744,0.952,0.851,0.75,95,-1,1
0,0.05,4,-1.0,4400,7221,3770,1.641,0.857,0.07299999999999995,95,-1,1
0,0.05,3,-1.0,4400,11746,3132,2.669,0.712,-1.245,95,-1,1
0,0.05,9,-1.0,3750,2449,2448,0.653,0.653,0.653,80,-1,1
0,0.05,8,-1.0,3750,2637,2636,0.703,0.703,0.703,80,-1,1
0,0.05,7,-1.0,3750,2825,2818,0.753,0.751,0.749,80,-1,1
0,0.05,6,-1.0,3750,3048,3012,0.813,0.803,0.7930000000000001,80,-1,1
0,0.05,5,-1.0,3750,3519,3175,0.938,0.846,0.754,80,-1,1
0,0.05,4,-1.0,3750,5991,3244,1.597,0.865,0.133,80,-1,1
0,0.05,3,-1.0,3750,10066,2691,2.684,0.717,-1.2500000000000002,80,-1,1
0,0.05,9,-1.0,8650,5870,5732,0.679,0.663,0.647,185,-1,0
0,0.05,8,-1.0,8650,6319,6200,0.73,0.717,0.704,185,-1,0
0,0.05,7,-1.0,8650,6814,6659,0.788,0.77,0.752,185,-1,0
0,0.05,6,-1.0,8650,7465,7082,0.863,0.819,0.7749999999999999,185,-1,0
0,0.05,5,-1.0,8650,9954,7501,1.151,0.867,0.583,185,-1,0
0,0.05,4,-1.0,8650,21479,7692,2.483,0.889,-0.7050000000000001,185,-1,0
0,0.05,3,-1.0,8650,45713,6728,5.284,0.778,-3.7279999999999998,185,-1,0
0,0.05,9,-1.0,7962,5233,5102,0.657,0.641,0.625,170,-1,0
0,0.05,8,-1.0,7962,5709,5580,0.717,0.701,0.6849999999999999,170,-1,0
0,0.05,7,-1.0,7962,6174,6033,0.775,0.758,0.741,170,-1,0
0,0.05,6,-1.0,7962,6802,6460,0.854,0.811,0.7680000000000001,170,-1,0
0,0.05,5,-1.0,7962,8991,6834,1.129,0.858,0.587,170,-1,0
0,0.05,4,-1.0,7962,19396,7028,2.436,0.883,-0.6699999999999999,170,-1,0
0,0.05,3,-1.0,7962,42053,6105,5.281,0.767,-3.747,170,-1,0
0,0.05,9,-1.0,7259,4865,4664,0.67,0.642,0.614,155,-1,0
0,0.05,8,-1.0,7259,5246,5077,0.723,0.699,0.6749999999999999,155,-1,0
0,0.05,7,-1.0,7259,5628,5477,0.775,0.754,0.733,155,-1,0
0,0.05,6,-1.0,7259,6144,5855,0.846,0.806,0.7660000000000001,155,-1,0
0,0.05,5,-1.0,7259,7922,6222,1.091,0.857,0.623,155,-1,0
0,0.05,4,-1.0,7259,17242,6425,2.375,0.885,-0.605,155,-1,0
0,0.05,3,-1.0,7259,38357,5580,5.283,0.769,-3.745,155,-1,0
0,0.05,9,-1.0,6638,4245,4057,0.639,0.611,0.583,140,-1,0
0,0.05,8,-1.0,6638,4585,4422,0.691,0.666,0.6410000000000001,140,-1,0
0,0.05,7,-1.0,6638,4985,4828,0.751,0.727,0.703,140,-1,0
0,0.05,6,-1.0,6638,5469,5198,0.824,0.783,0.7420000000000001,140,-1,0
0,0.05,5,-1.0,6638,7009,5563,1.056,0.838,0.6199999999999999,140,-1,0
0,0.05,4,-1.0,6638,15058,5716,2.268,0.861,-0.5459999999999998,140,-1,0
0,0.05,3,-1.0,6638,34298,5021,5.166,0.756,-3.6540000000000004,140,-1,0
0,0.05,9,-1.0,5932,3711,3461,0.625,0.583,0.5409999999999999,125,-1,0
0,0.05,8,-1.0,5932,4059,3820,0.684,0.644,0.604,125,-1,0
0,0.05,7,-1.0,5932,4362,4141,0.735,0.698,0.6609999999999999,125,-1,0
0,0.05,6,-1.0,5932,4805,4519,0.81,0.762,0.714,125,-1,0
0,0.05,5,-1.0,5932,5981,4863,1.008,0.82,0.6319999999999999,125,-1,0
0,0.05,4,-1.0,5932,13059,5052,2.201,0.852,-0.4970000000000001,125,-1,0
0,0.05,3,-1.0,5932,30415,4486,5.126,0.756,-3.6140000000000003,125,-1,0
0,0.05,9,-1.0,5321,3119,2804,0.586,0.527,0.4680000000000001,110,-1,0
0,0.05,8,-1.0,5321,3404,3129,0.64,0.588,0.5359999999999999,110,-1,0
0,0.05,7,-1.0,5321,3757,3485,0.706,0.655,0.6040000000000001,110,-1,0
0,0.05,6,-1.0,5321,4134,3837,0.777,0.721,0.6649999999999999,110,-1,0
0,0.05,5,-1.0,5321,5218,4193,0.98,0.788,0.5960000000000001,110,-1,0
0,0.05,4,-1.0,5321,11160,4457,2.097,0.837,-0.42300000000000004,110,-1,0
0,0.05,3,-1.0,5321,26818,4013,5.039,0.754,-3.5309999999999997,110,-1,0
0,0.05,9,-1.0,4515,2476,2168,0.548,0.48,0.4119999999999999,95,-1,0
0,0.05,8,-1.0,4515,2727,2434,0.604,0.539,0.4740000000000001,95,-1,0
0,0.05,7,-1.0,4515,3034,2743,0.672,0.607,0.5419999999999999,95,-1,0
0,0.05,6,-1.0,4515,3382,3057,0.749,0.677,0.6050000000000001,95,-1,0
0,0.05,5,-1.0,4515,4147,3337,0.918,0.739,0.5599999999999999,95,-1,0
0,0.05,4,-1.0,4515,8668,3635,1.919,0.805,-0.30899999999999994,95,-1,0
0,0.05,3,-1.0,4515,22786,3396,5.046,0.752,-3.5420000000000003,95,-1,0
0,0.05,9,-1.0,3841,1704,1518,0.444,0.395,0.34600000000000003,80,-1,0
0,0.05,8,-1.0,3841,1914,1704,0.498,0.444,0.39,80,-1,0
0,0.05,7,-1.0,3841,2162,1953,0.563,0.508,0.45300000000000007,80,-1,0
0,0.05,6,-1.0,3841,2448,2199,0.637,0.572,0.5069999999999999,80,-1,0
0,0.05,5,-1.0,3841,2998,2449,0.78,0.637,0.494,80,-1,0
0,0.05,4,-1.0,3841,6065,2742,1.579,0.714,-0.15100000000000002,80,-1,0
0,0.05,3,-1.0,3841,18059,2796,4.7,0.728,-3.244,80,-1,0
0,0.05,8,-1.0,3848,2634,2633,0.684,0.684,0.684,80,-1,2
0,0.05,7,-1.0,3848,2875,2871,0.747,0.746,0.745,80,-1,2
0,0.05,6,-1.0,3848,3128,3084,0.813,0.801,0.7890000000000001,80,-1,2
0,0.05,5,-1.0,3848,3630,3276,0.943,0.851,0.759,80,-1,2
0,0.05,4,-1.0,3848,5929,3273,1.54,0.85,0.15999999999999992,80,-1,2
0,0.05,3,-1.0,3848,7993,2610,2.077,0.678,-0.7209999999999999,80,-1,2
0,0.05,9,-1.0,3149,1996,1996,0.634,0.634,0.634,65,-1,2
0,0.05,8,-1.0,3149,2146,2145,0.681,0.681,0.681,65,-1,2
0,0.05,7,-1.0,3149,2307,2303,0.732,0.731,0.73,65,-1,2
0,0.05,6,-1.0,3149,2501,2467,0.794,0.783,0.772,65,-1,2
0,0.05,5,-1.0,3149,2905,2619,0.922,0.831,0.7399999999999999,65,-1,2
0,0.05,4,-1.0,3149,4777,2652,1.517,0.842,0.16700000000000004,65,-1,2
0,0.05,3,-1.0,3149,6474,2153,2.055,0.683,-0.6890000000000001,65,-1,2
0,0.05,9,-1.0,2328,1511,1511,0.649,0.649,0.649,50,-1,2
0,0.05,8,-1.0,2328,1608,1608,0.69,0.69,0.69,50,-1,2
0,0.05,7,-1.0,2328,1734,1733,0.745,0.744,0.743,50,-1,2
0,0.05,6,-1.0,2328,1871,1849,0.803,0.794,0.785,50,-1,2
0,0.05,5,-1.0,2328,2183,1954,0.937,0.839,0.7409999999999999,50,-1,2
0,0.05,4,-1.0,2328,3577,1969,1.536,0.845,0.15399999999999991,50,-1,2
0,0.05,3,-1.0,2328,4784,1527,2.054,0.656,-0.7419999999999998,50,-1,2
0,0.05,9,-1.0,1704,1093,1093,0.641,0.641,0.641,35,-1,2
0,0.05,8,-1.0,1704,1187,1187,0.696,0.696,0.696,35,-1,2
0,0.05,7,-1.0,1704,1270,1270,0.745,0.745,0.745,35,-1,2
0,0.05,6,-1.0,1704,1379,1369,0.809,0.803,0.797,35,-1,2
0,0.05,5,-1.0,1704,1573,1440,0.923,0.845,0.7669999999999999,35,-1,2
0,0.05,4,-1.0,1704,2569,1477,1.507,0.866,0.2250000000000001,35,-1,2
0,0.05,3,-1.0,1704,3515,1187,2.062,0.696,-0.6699999999999999,35,-1,2
0,0.05,9,-1.0,956,602,602,0.629,0.629,0.629,20,-1,2
0,0.05,8,-1.0,956,654,653,0.683,0.682,0.681,20,-1,2
0,0.05,7,-1.0,956,705,704,0.737,0.736,0.735,20,-1,2
0,0.05,6,-1.0,956,765,757,0.799,0.791,0.783,20,-1,2
0,0.05,5,-1.0,956,890,806,0.93,0.842,0.7539999999999999,20,-1,2
0,0.05,4,-1.0,956,1456,814,1.521,0.851,0.18100000000000005,20,-1,2
0,0.05,3,-1.0,956,1950,640,2.038,0.669,-0.6999999999999997,20,-1,2
0,0.05,9,-1.0,8730,5749,5748,0.658,0.658,0.658,185,-1,1
0,0.05,8,-1.0,8730,6159,6158,0.705,0.705,0.705,185,-1,1
0,0.05,7,-1.0,8730,6596,6580,0.755,0.754,0.753,185,-1,1
0,0.05,6,-1.0,8730,7197,7045,0.824,0.807,0.7900000000000001,185,-1,1
0,0.05,5,-1.0,8730,8581,7450,0.983,0.853,0.723,185,-1,1
0,0.05,4,-1.0,8730,14810,7507,1.696,0.86,0.02400000000000002,185,-1,1
0,0.05,3,-1.0,8730,22718,6172,2.602,0.707,-1.188,185,-1,1
0,0.05,9,-1.0,8098,5216,5215,0.644,0.644,0.644,170,-1,1
0,0.05,8,-1.0,8098,5656,5655,0.698,0.698,0.698,170,-1,1
0,0.05,7,-1.0,8098,6065,6058,0.749,0.748,0.747,170,-1,1
0,0.05,6,-1.0,8098,6597,6478,0.815,0.8,0.7850000000000001,170,-1,1
0,0.05,5,-1.0,8098,7903,6876,0.976,0.849,0.722,170,-1,1
0,0.05,4,-1.0,8098,13845,6991,1.709,0.863,0.016999999999999904,170,-1,1
0,0.05,3,-1.0,8098,21108,5671,2.606,0.7,-1.206,170,-1,1
0,0.05,9,-1.0,7359,4780,4779,0.649,0.649,0.649,155,-1,1
0,0.05,8,-1.0,7359,5158,5157,0.701,0.701,0.701,155,-1,1
0,0.05,7,-1.0,7359,5537,5522,0.752,0.75,0.748,155,-1,1
0,0.05,6,-1.0,7359,6014,5910,0.817,0.803,0.7890000000000001,155,-1,1
0,0.05,5,-1.0,7359,7137,6235,0.97,0.847,0.724,155,-1,1
0,0.05,4,-1.0,7359,12329,6328,1.675,0.86,0.04499999999999993,155,-1,1
0,0.05,3,-1.0,7359,19452,5207,2.643,0.707,-1.2289999999999999,155,-1,1
0,0.05,9,-1.0,6595,4261,4260,0.646,0.646,0.646,140,-1,1
0,0.05,8,-1.0,6595,4600,4598,0.697,0.697,0.697,140,-1,1
0,0.05,7,-1.0,6595,4921,4915,0.746,0.745,0.744,140,-1,1
0,0.05,6,-1.0,6595,5328,5245,0.808,0.795,0.782,140,-1,1
0,0.05,5,-1.0,6595,6319,5566,0.958,0.844,0.73,140,-1,1
0,0.05,4,-1.0,6595,11251,5623,1.706,0.852,-0.0020000000000000018,140,-1,1
0,0.05,3,-1.0,6595,17393,4600,2.637,0.697,-1.243,140,-1,1
0,0.05,9,-1.0,5916,3825,3825,0.646,0.646,0.646,125,-1,1
0,0.05,8,-1.0,5916,4148,4147,0.701,0.701,0.701,125,-1,1
0,0.05,7,-1.0,5916,4456,4450,0.753,0.752,0.751,125,-1,1
0,0.05,6,-1.0,5916,4810,4745,0.813,0.802,0.7910000000000001,125,-1,1
0,0.05,5,-1.0,5916,5687,5020,0.961,0.848,0.735,125,-1,1
0,0.05,4,-1.0,5916,9966,5134,1.684,0.868,0.052000000000000046,125,-1,1
0,0.05,3,-1.0,5916,15668,4218,2.648,0.713,-1.2220000000000002,125,-1,1
0,0.05,9,-1.0,5103,3298,3297,0.646,0.646,0.646,110,-1,1
0,0.05,8,-1.0,5103,3573,3570,0.7,0.699,0.698,110,-1,1
0,0.05,7,-1.0,5103,3797,3793,0.744,0.743,0.742,110,-1,1
0,0.05,6,-1.0,5103,4181,4106,0.819,0.804,0.7890000000000001,110,-1,1
0,0.05,5,-1.0,5103,4965,4363,0.973,0.855,0.737,110,-1,1
0,0.05,4,-1.0,5103,8531,4411,1.671,0.864,0.05699999999999994,110,-1,1
0,0.05,3,-1.0,5103,13506,3585,2.646,0.702,-1.242,110,-1,1
0,0.05,9,-1.0,4533,2976,2976,0.656,0.656,0.656,95,-1,1
0,0.05,8,-1.0,4533,3208,3208,0.708,0.708,0.708,95,-1,1
0,0.05,7,-1.0,4533,3419,3417,0.754,0.754,0.754,95,-1,1
0,0.05,6,-1.0,4533,3698,3635,0.816,0.802,0.7880000000000001,95,-1,1
