InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,Coverage Depth,Ratio
100000,0.01,2,-1,998,0,0,0,0,1,0.23
100000,0.01,1,-1,998,0,0,0,0,1,0.23
100000,0.01,0,-1,998,0,0,0,0,1,0.23
100000,0.01,7,-1,932,51,35,0.055,0.038,1,0.22
100000,0.01,6,-1,932,85,57,0.091,0.061,1,0.22
100000,0.01,5,-1,932,125,85,0.134,0.091,1,0.22
100000,0.01,4,-1,932,138,90,0.148,0.096,1,0.22
100000,0.01,3,-1,932,117,67,0.126,0.072,1,0.22
100000,0.01,2,-1,932,0,0,0,0,1,0.22
100000,0.01,1,-1,932,0,0,0,0,1,0.22
100000,0.01,0,-1,932,0,0,0,0,1,0.22
100000,0.01,7,-1,1064,49,32,0.046,0.03,1,0.21
100000,0.01,6,-1,1064,75,51,0.07,0.048,1,0.21
100000,0.01,5,-1,1064,97,68,0.091,0.064,1,0.21
100000,0.01,4,-1,1064,157,103,0.148,0.097,1,0.21
100000,0.01,3,-1,1064,81,45,0.076,0.042,1,0.21
100000,0.01,2,-1,1064,0,0,0,0,1,0.21
100000,0.01,1,-1,1064,0,0,0,0,1,0.21
100000,0.01,0,-1,1064,0,0,0,0,1,0.21
100000,0.01,7,-1,964,39,22,0.04,0.023,1,0.2
100000,0.01,6,-1,964,52,30,0.054,0.031,1,0.2
100000,0.01,5,-1,964,79,46,0.082,0.048,1,0.2
100000,0.01,4,-1,964,103,58,0.107,0.06,1,0.2
100000,0.01,3,-1,964,109,44,0.113,0.046,1,0.2
100000,0.01,2,-1,964,0,0,0,0,1,0.2
100000,0.01,1,-1,964,0,0,0,0,1,0.2
100000,0.01,0,-1,964,0,0,0,0,1,0.2
