InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,,,,,,
100000,0.1,13,0.97,9996,1317,1303,0.132,0.13,,,,,,
100000,0.1,14,0.97,9996,1043,1033,0.104,0.103,,,,,,
100000,0.1,15,0.97,9996,756,745,0.076,0.075,,,,,,
100000,0.1,16,0.97,9996,551,545,0.055,0.055,,,,,,
100000,0.1,17,0.97,9996,387,384,0.039,0.038,,,,,,
100000,0.1,18,0.97,9996,259,258,0.026,0.026,,,,,,
100000,0.1,19,0.97,9996,140,140,0.014,0.014,,,,,,
100000,0.01,1,0.96,1015,986,911,0.971,0.898,,,,,,
100000,0.05,1,0.96,4958,4428,4147,0.893,0.836,,,,,,
100000,0.05,2,0.96,4958,4421,4248,0.892,0.857,,,,,,
100000,0.1,2,0.96,9976,8719,8345,0.874,0.837,,,,,,
100000,0.01,2,0.96,1015,884,844,0.871,0.832,,,,,,
100000,0.05,3,0.96,4958,4277,4183,0.863,0.844,,,,,,
100000,0.1,3,0.96,9976,8539,8267,0.856,0.829,,,,,,
100000,0.05,4,0.96,4958,4192,4088,0.846,0.825,,,,,,
100000,0.01,3,0.96,1015,846,809,0.833,0.797,,,,,,
100000,0.1,4,0.96,9976,8234,8008,0.825,0.803,,,,,,
100000,0.01,4,0.96,1015,831,792,0.819,0.78,,,,,,
100000,0.1,1,0.96,9976,8089,7506,0.811,0.752,,,,,,
100000,0.05,5,0.96,4958,3991,3898,0.805,0.786,,,,,,
100000,0.01,5,0.96,1015,803,764,0.791,0.753,,,,,,
100000,0.01,6,0.96,1015,777,738,0.766,0.727,,,,,,
100000,0.1,5,0.96,9976,7609,7421,0.763,0.744,,,,,,
100000,0.05,6,0.96,4958,3679,3592,0.742,0.724,,,,,,
100000,0.01,7,0.96,1015,720,687,0.709,0.677,,,,,,
100000,0.05,7,0.96,4958,3391,3296,0.684,0.665,,,,,,
100000,0.1,6,0.96,9976,6750,6573,0.677,0.659,,,,,,
100000,0.01,8,0.96,1015,676,646,0.666,0.636,,,,,,
100000,0.01,9,0.96,1015,654,624,0.644,0.615,,,,,,
100000,0.01,10,0.96,1015,623,593,0.614,0.584,,,,,,
100000,0.05,8,0.96,4958,2981,2902,0.601,0.585,,,,,,
100000,0.1,7,0.96,9976,5749,5601,0.576,0.561,,,,,,
100000,0.05,9,0.96,4958,2616,2554,0.528,0.515,,,,,,
100000,0.01,12,0.96,1015,496,477,0.489,0.47,,,,,,
100000,0.1,8,0.96,9976,4700,4572,0.471,0.458,,,,,,
100000,0.05,10,0.96,4958,2241,2188,0.452,0.441,,,,,,
100000,0.01,13,0.96,1015,456,439,0.449,0.433,,,,,,
100000,0.01,14,0.96,1015,414,398,0.408,0.392,,,,,,
100000,0.05,11,0.96,4958,1933,1898,0.39,0.383,,,,,,
100000,0.01,15,0.96,1015,371,355,0.366,0.35,,,,,,
100000,0.1,9,0.96,9976,3557,3478,0.357,0.349,,,,,,
100000,0.05,12,0.96,4958,1643,1611,0.331,0.325,,,,,,
100000,0.01,16,0.96,1015,322,308,0.317,0.303,,,,,,
100000,0.01,17,0.96,1015,299,288,0.295,0.284,,,,,,
100000,0.05,13,0.96,4958,1379,1350,0.278,0.272,,,,,,
100000,0.1,10,0.96,9976,2525,2473,0.253,0.248,,,,,,
100000,0.05,14,0.96,4958,1175,1151,0.237,0.232,,,,,,
100000,0.01,18,0.96,1015,232,224,0.229,0.221,,,,,,
100000,0.01,19,0.96,1015,218,211,0.215,0.208,,,,,,
100000,0.05,15,0.96,4958,1012,990,0.204,0.2,,,,,,
100000,0.1,11,0.96,9976,1801,1770,0.181,0.177,,,,,,
100000,0.05,16,0.96,4958,826,806,0.167,0.163,,,,,,
100000,0.05,17,0.96,4958,666,656,0.134,0.132,,,,,,
100000,0.05,18,0.96,4958,538,533,0.109,0.108,,,,,,
100000,0.1,13,0.96,9976,965,951,0.097,0.095,,,,,,
100000,0.05,19,0.96,4958,428,424,0.086,0.086,,,,,,
100000,0.1,14,0.96,9976,673,670,0.067,0.067,,,,,,
100000,0.1,15,0.96,9976,447,444,0.045,0.045,,,,,,
100000,0.1,16,0.96,9976,283,283,0.028,0.028,,,,,,
100000,0.1,17,0.96,9976,206,203,0.021,0.02,,,,,,
100000,0.1,18,0.96,9976,93,92,0.009,0.009,,,,,,
100000,0.1,19,0.96,9976,49,49,0.005,0.005,,,,,,
100000,0.01,1,0.95,985,959,849,0.974,0.862,,,,,,
100000,0.05,2,0.95,4949,4412,4210,0.891,0.851,,,,,,
100000,0.05,1,0.95,4949,4408,4106,0.891,0.83,,,,,,
100000,0.05,3,0.95,4949,4305,4174,0.87,0.843,,,,,,
100000,0.01,2,0.95,985,844,767,0.857,0.779,,,,,,
100000,0.1,2,0.95,10079,8607,8149,0.854,0.809,,,,,,
100000,0.05,4,0.95,4949,4209,4077,0.85,0.824,,,,,,
100000,0.1,3,0.95,10079,8380,8062,0.831,0.8,,,,,,
100000,0.01,3,0.95,985,816,739,0.828,0.75,,,,,,
100000,0.01,4,0.95,985,793,717,0.805,0.728,,,,,,
100000,0.1,4,0.95,10079,8092,7797,0.803,0.774,,,,,,
100000,0.05,5,0.95,4949,3947,3823,0.798,0.772,,,,,,
100000,0.1,1,0.95,10079,7958,7313,0.79,0.726,,,,,,
100000,0.01,5,0.95,985,755,682,0.766,0.692,,,,,,
100000,0.05,6,0.95,4949,3658,3535,0.739,0.714,,,,,,
100000,0.1,5,0.95,10079,7365,7108,0.731,0.705,,,,,,
100000,0.01,6,0.95,985,716,645,0.727,0.655,,,,,,
100000,0.05,7,0.95,4949,3313,3194,0.669,0.645,,,,,,
100000,0.01,7,0.95,985,656,591,0.666,0.6,,,,,,
100000,0.1,6,0.95,10079,6385,6170,0.633,0.612,,,,,,
100000,0.01,8,0.95,985,600,542,0.609,0.55,,,,,,
100000,0.05,8,0.95,4949,2869,2760,0.58,0.558,,,,,,
100000,0.01,9,0.95,985,544,492,0.552,0.499,,,,,,
100000,0.1,7,0.95,10079,5221,5046,0.518,0.501,,,,,,
100000,0.01,10,0.95,985,508,457,0.516,0.464,,,,,,
100000,0.05,9,0.95,4949,2448,2367,0.495,0.478,,,,,,
100000,0.01,11,0.95,985,468,417,0.475,0.423,,,,,,
100000,0.1,8,0.95,10079,4120,3992,0.409,0.396,,,,,,
100000,0.01,12,0.95,985,403,361,0.409,0.366,,,,,,
100000,0.05,10,0.95,4949,2008,1936,0.406,0.391,,,,,,
100000,0.01,13,0.95,985,362,324,0.368,0.329,,,,,,
100000,0.01,14,0.95,985,354,312,0.359,0.317,,,,,,
100000,0.05,11,0.95,4949,1688,1635,0.341,0.33,,,,,,
100000,0.01,15,0.95,985,287,253,0.291,0.257,,,,,,
100000,0.1,9,0.95,10079,2905,2825,0.288,0.28,,,,,,
100000,0.05,12,0.95,4949,1406,1364,0.284,0.276,,,,,,
100000,0.01,16,0.95,985,266,236,0.27,0.24,,,,,,
100000,0.05,13,0.95,4949,1153,1122,0.233,0.227,,,,,,
100000,0.1,10,0.95,10079,2028,1977,0.201,0.196,,,,,,
100000,0.01,19,0.95,985,195,176,0.198,0.179,,,,,,
100000,0.01,18,0.95,985,195,174,0.198,0.177,,,,,,
100000,0.01,17,0.95,985,194,171,0.197,0.174,,,,,,
100000,0.05,14,0.95,4949,952,927,0.192,0.187,,,,,,
100000,0.05,15,0.95,4949,759,737,0.153,0.149,,,,,,
100000,0.1,11,0.95,10079,1411,1387,0.14,0.138,,,,,,
100000,0.05,16,0.95,4949,563,546,0.114,0.11,,,,,,
100000,0.1,12,0.95,10079,1010,992,0.1,0.098,,,,,,
100000,0.05,17,0.95,4949,445,433,0.09,0.087,,,,,,
100000,0.1,13,0.95,10079,734,722,0.073,0.072,,,,,,
100000,0.05,18,0.95,4949,336,327,0.068,0.066,,,,,,
100000,0.05,19,0.95,4949,245,237,0.05,0.048,,,,,,
100000,0.1,14,0.95,10079,485,479,0.048,0.048,,,,,,
100000,0.1,15,0.95,10079,335,333,0.033,0.033,,,,,,
100000,0.1,16,0.95,10079,227,225,0.023,0.022,,,,,,
100000,0.1,17,0.95,10079,101,99,0.01,0.01,,,,,,
100000,0.1,18,0.95,10079,33,32,0.003,0.003,,,,,,
100000,0.1,19,0.95,10079,17,17,0.002,0.002,,,,,,
100000,0.01,1,0.94,991,955,803,0.964,0.81,,,,,,
100000,0.01,2,0.94,991,877,765,0.885,0.772,,,,,,
100000,0.05,1,0.94,5071,4389,4042,0.866,0.797,,,,,,
100000,0.05,2,0.94,5071,4371,4125,0.862,0.813,,,,,,
100000,0.05,3,0.94,5071,4264,4081,0.841,0.805,,,,,,
100000,0.01,3,0.94,991,816,710,0.823,0.716,,,,,,
100000,0.05,4,0.94,5071,4120,3955,0.812,0.78,,,,,,
100000,0.01,4,0.94,991,789,689,0.796,0.695,,,,,,
100000,0.1,1,0.94,9952,7869,7150,0.791,0.718,,,,,,
100000,0.01,5,0.94,991,750,654,0.757,0.66,,,,,,
100000,0.01,6,0.94,991,703,615,0.709,0.621,,,,,,
100000,0.05,6,0.94,5071,3475,3332,0.685,0.657,,,,,,
100000,0.01,7,0.94,991,650,571,0.656,0.576,,,,,,
100000,0.05,7,0.94,5071,3063,2932,0.604,0.578,,,,,,
100000,0.1,6,0.94,9952,5946,5692,0.597,0.572,,,,,,
100000,0.01,8,0.94,991,580,508,0.585,0.513,,,,,,
100000,0.01,9,0.94,991,514,444,0.519,0.448,,,,,,
100000,0.05,8,0.94,5071,2600,2480,0.513,0.489,,,,,,
100000,0.1,7,0.94,9952,4865,4665,0.489,0.469,,,,,,
100000,0.01,10,0.94,991,437,382,0.441,0.385,,,,,,
100000,0.05,9,0.94,5071,2163,2068,0.427,0.408,,,,,,
100000,0.01,11,0.94,991,416,364,0.42,0.367,,,,,,
100000,0.1,8,0.94,9952,3785,3642,0.38,0.366,,,,,,
100000,0.01,12,0.94,991,364,320,0.367,0.323,,,,,,
100000,0.05,10,0.94,5071,1715,1637,0.338,0.323,,,,,,
100000,0.01,13,0.94,991,311,275,0.314,0.277,,,,,,
100000,0.05,11,0.94,5071,1368,1319,0.27,0.26,,,,,,
100000,0.01,14,0.94,991,263,233,0.265,0.235,,,,,,
100000,0.1,9,0.94,9952,2587,2488,0.26,0.25,,,,,,
100000,0.01,15,0.94,991,248,216,0.25,0.218,,,,,,
100000,0.05,12,0.94,5071,1101,1059,0.217,0.209,,,,,,
100000,0.01,16,0.94,991,190,165,0.192,0.166,,,,,,
100000,0.1,10,0.94,9952,1768,1709,0.178,0.172,,,,,,
100000,0.01,17,0.94,991,176,151,0.178,0.152,,,,,,
100000,0.01,18,0.94,991,161,141,0.162,0.142,,,,,,
100000,0.1,11,0.94,9952,1187,1161,0.119,0.117,,,,,,
100000,0.01,19,0.94,991,94,80,0.095,0.081,,,,,,
100000,0.1,12,0.94,9952,812,795,0.082,0.08,,,,,,
100000,0.05,16,0.94,5071,402,387,0.079,0.076,,,,,,
100000,0.1,13,0.94,9952,548,542,0.055,0.054,,,,,,
100000,0.05,17,0.94,5071,249,241,0.049,0.048,,,,,,
100000,0.1,14,0.94,9952,361,355,0.036,0.036,,,,,,
100000,0.05,18,0.94,5071,157,151,0.031,0.03,,,,,,
100000,0.1,15,0.94,9952,231,228,0.023,0.023,,,,,,
100000,0.05,19,0.94,5071,104,102,0.021,0.02,,,,,,
100000,0.1,16,0.94,9952,133,132,0.013,0.013,,,,,,
100000,0.1,18,0.94,9952,31,31,0.003,0.003,,,,,,
100000,0.1,19,0.94,9952,17,17,0.002,0.002,,,,,,
100000,0.01,2,0.93,1017,911,748,0.896,0.735,,,,,,
100000,0.05,1,0.93,4983,4361,3908,0.875,0.784,,,,,,
100000,0.1,2,0.93,10038,8519,7844,0.849,0.781,,,,,,
100000,0.05,2,0.93,4983,4159,3858,0.835,0.774,,,,,,
100000,0.05,3,0.93,4983,4102,3862,0.823,0.775,,,,,,
100000,0.01,3,0.93,1017,834,679,0.82,0.668,,,,,,
100000,0.1,3,0.93,10038,8052,7606,0.802,0.758,,,,,,
100000,0.1,1,0.93,10038,7999,7153,0.797,0.713,,,,,,
100000,0.05,4,0.93,4983,3951,3719,0.793,0.746,,,,,,
100000,0.1,4,0.93,10038,7701,7256,0.767,0.723,,,,,,
100000,0.05,5,0.93,4983,3612,3395,0.725,0.681,,,,,,
100000,0.01,5,0.93,1017,731,599,0.719,0.589,,,,,,
100000,0.1,5,0.93,10038,6784,6405,0.676,0.638,,,,,,
100000,0.01,6,0.93,1017,672,546,0.661,0.537,,,,,,
100000,0.05,6,0.93,4983,3259,3055,0.654,0.613,,,,,,
100000,0.01,7,0.93,1017,583,473,0.573,0.465,,,,,,
100000,0.1,6,0.93,10038,5654,5364,0.563,0.534,,,,,,
100000,0.05,7,0.93,4983,2788,2609,0.56,0.524,,,,,,
100000,0.01,8,0.93,1017,547,436,0.538,0.429,,,,,,
100000,0.01,9,0.93,1017,468,375,0.46,0.369,,,,,,
100000,0.05,8,0.93,4983,2269,2141,0.455,0.43,,,,,,
100000,0.1,7,0.93,10038,4473,4242,0.446,0.423,,,,,,
100000,0.01,10,0.93,1017,402,319,0.395,0.314,,,,,,
100000,0.05,9,0.93,4983,1876,1774,0.376,0.356,,,,,,
100000,0.1,8,0.93,10038,3261,3094,0.325,0.308,,,,,,
100000,0.01,11,0.93,1017,328,263,0.323,0.259,,,,,,
100000,0.05,10,0.93,4983,1512,1420,0.303,0.285,,,,,,
100000,0.01,12,0.93,1017,290,228,0.285,0.224,,,,,,
100000,0.01,13,0.93,1017,236,185,0.232,0.182,,,,,,
100000,0.05,11,0.93,4983,1152,1087,0.231,0.218,,,,,,
100000,0.01,14,0.93,1017,231,187,0.227,0.184,,,,,,
100000,0.1,9,0.93,10038,2200,2089,0.219,0.208,,,,,,
100000,0.05,12,0.93,4983,933,877,0.187,0.176,,,,,,
100000,0.1,10,0.93,10038,1456,1398,0.145,0.139,,,,,,
100000,0.05,13,0.93,4983,721,676,0.145,0.136,,,,,,
100000,0.01,16,0.93,1017,139,112,0.137,0.11,,,,,,
100000,0.01,15,0.93,1017,138,111,0.136,0.109,,,,,,
100000,0.01,17,0.93,1017,111,91,0.109,0.089,,,,,,
100000,0.05,14,0.93,4983,531,496,0.107,0.1,,,,,,
100000,0.1,11,0.93,10038,949,918,0.095,0.091,,,,,,
100000,0.05,15,0.93,4983,420,389,0.084,0.078,,,,,,
100000,0.1,12,0.93,10038,648,630,0.065,0.063,,,,,,
100000,0.01,18,0.93,1017,60,49,0.059,0.048,,,,,,
100000,0.05,16,0.93,4983,281,265,0.056,0.053,,,,,,
100000,0.01,19,0.93,1017,49,41,0.048,0.04,,,,,,
100000,0.1,13,0.93,10038,398,388,0.04,0.039,,,,,,
100000,0.05,17,0.93,4983,192,184,0.039,0.037,,,,,,
100000,0.05,18,0.93,4983,133,125,0.027,0.025,,,,,,
100000,0.1,14,0.93,10038,245,238,0.024,0.024,,,,,,
100000,0.1,15,0.93,10038,168,161,0.017,0.016,,,,,,
100000,0.05,19,0.93,4983,60,57,0.012,0.011,,,,,,
100000,0.1,16,0.93,10038,42,42,0.004,0.004,,,,,,
100000,0.1,17,0.93,10038,19,19,0.002,0.002,,,,,,
100000,0.1,19,0.93,10038,7,7,0.001,0.001,,,,,,
100000,0.1,18,0.93,10038,8,8,0.001,0.001,,,,,,
100000,0.05,1,0.92,5089,4414,3883,0.867,0.763,,,,,,
100000,0.01,2,0.92,1011,872,701,0.863,0.693,,,,,,
100000,0.1,2,0.92,9983,8371,7603,0.839,0.762,,,,,,
100000,0.05,2,0.92,5089,4128,3780,0.811,0.743,,,,,,
100000,0.05,3,0.92,5089,4083,3788,0.802,0.744,,,,,,
100000,0.1,3,0.92,9983,7994,7399,0.801,0.741,,,,,,
100000,0.1,1,0.92,9983,7814,6884,0.783,0.69,,,,,,
100000,0.05,4,0.92,5089,3907,3628,0.768,0.713,,,,,,
100000,0.01,3,0.92,1011,772,619,0.764,0.612,,,,,,
100000,0.01,4,0.92,1011,711,574,0.703,0.568,,,,,,
100000,0.05,5,0.92,5089,3573,3325,0.702,0.653,,,,,,
100000,0.01,5,0.92,1011,681,549,0.674,0.543,,,,,,
100000,0.1,5,0.92,9983,6506,6069,0.652,0.608,,,,,,
100000,0.05,6,0.92,5089,3139,2927,0.617,0.575,,,,,,
100000,0.01,6,0.92,1011,586,467,0.58,0.462,,,,,,
100000,0.01,7,0.92,1011,546,435,0.54,0.43,,,,,,
100000,0.1,6,0.92,9983,5272,4945,0.528,0.495,,,,,,
