InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes
1000000,0.1,3,0.85,100008,70701,58764,0.707,0.588
1000000,0.1,2,0.85,100008,80818,63517,0.808,0.635
1000000,0.1,1,0.85,100008,76623,59319,0.766,0.593
1000000,0.1,4,0.8,100059,68051,49154,0.68,0.491
1000000,0.1,3,0.8,100059,69452,50519,0.694,0.505
1000000,0.1,2,0.8,100059,81471,55640,0.814,0.556
1000000,0.1,1,0.8,100059,77046,52822,0.77,0.528
1000000,0.1,4,0.75,99836,68155,41089,0.683,0.412
1000000,0.1,3,0.75,99836,70600,43038,0.707,0.431
1000000,0.1,2,0.75,99836,85075,48454,0.852,0.485
1000000,0.1,1,0.75,99836,78960,46357,0.791,0.464
1000000,0.1,4,0.7,99920,70476,34786,0.705,0.348
1000000,0.1,3,0.7,99920,74534,37143,0.746,0.372
1000000,0.1,2,0.7,99920,90271,42242,0.903,0.423
1000000,0.1,1,0.7,99920,83019,41129,0.831,0.412
1000000,0.1,4,1.0,100202,91735,91526,0.916,0.913
1000000,0.1,3,1.0,100202,91394,91152,0.912,0.91
1000000,0.1,2,1.0,100202,90862,90420,0.907,0.902
1000000,0.1,1,1.0,100202,84319,81071,0.841,0.809
1000000,0.1,4,0.95,100378,80757,78531,0.805,0.782
1000000,0.1,3,0.95,100378,80776,78612,0.805,0.783
1000000,0.1,2,0.95,100378,85057,80762,0.847,0.805
1000000,0.1,1,0.95,100378,80023,73445,0.797,0.732
1000000,0.1,4,0.9,100564,73698,67443,0.733,0.671
1000000,0.1,3,0.9,100564,74169,68055,0.738,0.677
1000000,0.1,2,0.9,100564,82077,72012,0.816,0.716
1000000,0.1,1,0.9,100564,77736,66327,0.773,0.66
1000000,0.1,4,0.85,99660,68448,56875,0.687,0.571
1000000,0.1,3,0.85,99660,69838,58302,0.701,0.585
1000000,0.1,2,0.85,99660,80258,63266,0.805,0.635
1000000,0.1,1,0.85,99660,76168,59160,0.764,0.594
1000000,0.1,4,0.8,100094,66163,48033,0.661,0.48
1000000,0.1,3,0.8,100094,68514,50090,0.684,0.5
1000000,0.1,2,0.8,100094,81360,55714,0.813,0.557
1000000,0.1,1,0.8,100094,76762,52812,0.767,0.528
1000000,0.1,4,0.75,99972,66054,40050,0.661,0.401
1000000,0.1,3,0.75,99972,69403,42543,0.694,0.426
1000000,0.1,2,0.75,99972,85156,48620,0.852,0.486
1000000,0.1,1,0.75,99972,79433,46655,0.795,0.467
1000000,0.1,4,0.7,100217,66840,33138,0.667,0.331
1000000,0.1,3,0.7,100217,72486,36236,0.723,0.362
1000000,0.1,2,0.7,100217,89751,41998,0.896,0.419
1000000,0.1,1,0.7,100217,82481,40844,0.823,0.408
100000,0.1,4,1.0,9845,8950,8932,0.909,0.907
100000,0.1,3,1.0,9845,8934,8906,0.907,0.905
100000,0.1,2,1.0,9845,8921,8872,0.906,0.901
100000,0.1,1,1.0,9845,8258,7953,0.839,0.808
100000,0.1,4,0.95,10062,8014,7810,0.796,0.776
100000,0.1,3,0.95,10062,8051,7842,0.8,0.779
100000,0.1,2,0.95,10062,8458,8033,0.841,0.798
100000,0.1,1,0.95,10062,8041,7368,0.799,0.732
100000,0.1,4,0.9,9987,7311,6639,0.732,0.665
100000,0.1,3,0.9,9987,7420,6776,0.743,0.678
100000,0.1,2,0.9,9987,8141,7128,0.815,0.714
100000,0.1,1,0.9,9987,7805,6642,0.782,0.665
100000,0.1,4,0.85,10154,7038,5819,0.693,0.573
100000,0.1,3,0.85,10154,7165,5981,0.706,0.589
100000,0.1,2,0.85,10154,8152,6454,0.803,0.636
100000,0.1,1,0.85,10154,7776,6030,0.766,0.594
100000,0.1,4,0.8,10079,6798,4787,0.674,0.475
100000,0.1,3,0.8,10079,7088,5037,0.703,0.5
100000,0.1,2,0.8,10079,8154,5508,0.809,0.546
100000,0.1,1,0.8,10079,7730,5265,0.767,0.522
100000,0.1,4,0.75,9905,6649,4007,0.671,0.405
100000,0.1,3,0.75,9905,7163,4336,0.723,0.438
100000,0.1,2,0.75,9905,8487,4843,0.857,0.489
100000,0.1,1,0.75,9905,7905,4654,0.798,0.47
100000,0.1,4,0.7,10070,6727,3304,0.668,0.328
100000,0.1,3,0.7,10070,7410,3644,0.736,0.362
100000,0.1,2,0.7,10070,8892,4148,0.883,0.412
100000,0.1,1,0.7,10070,8278,4061,0.822,0.403
10000,0.1,4,1.0,1010,923,922,0.914,0.913
10000,0.1,3,1.0,1010,913,910,0.904,0.901
10000,0.1,2,1.0,1010,909,905,0.9,0.896
10000,0.1,1,1.0,1010,858,813,0.85,0.805
10000,0.1,4,0.95,1016,821,807,0.808,0.794
10000,0.1,3,0.95,1016,828,813,0.815,0.8
10000,0.1,2,0.95,1016,863,828,0.849,0.815
10000,0.1,1,0.95,1016,797,742,0.784,0.73
10000,0.1,4,0.9,898,665,599,0.741,0.667
10000,0.1,3,0.9,898,679,610,0.756,0.679
10000,0.1,2,0.9,898,726,634,0.808,0.706
10000,0.1,1,0.9,898,690,591,0.768,0.658
10000,0.1,4,0.85,983,707,580,0.719,0.59
10000,0.1,3,0.85,983,721,592,0.733,0.602
10000,0.1,2,0.85,983,813,632,0.827,0.643
10000,0.1,1,0.85,983,796,607,0.81,0.617
10000,0.1,4,0.8,1029,695,519,0.675,0.504
10000,0.1,3,0.8,1029,736,551,0.715,0.535
10000,0.1,2,0.8,1029,850,600,0.826,0.583
10000,0.1,1,0.8,1029,815,567,0.792,0.551
10000,0.1,4,0.75,1001,683,409,0.682,0.409
10000,0.1,3,0.75,1001,733,443,0.732,0.443
10000,0.1,2,0.75,1001,875,491,0.874,0.491
10000,0.1,1,0.75,1001,802,474,0.801,0.474
10000,0.1,4,0.7,1034,695,344,0.672,0.333
10000,0.1,3,0.7,1034,761,380,0.736,0.368
10000,0.1,2,0.7,1034,879,423,0.85,0.409
10000,0.1,1,0.7,1034,809,408,0.782,0.395
1000,0.1,4,1.0,104,77,76,0.74,0.731
1000,0.1,3,1.0,104,79,78,0.76,0.75
1000,0.1,2,1.0,104,82,80,0.788,0.769
1000,0.1,1,1.0,104,72,70,0.692,0.673
1000,0.1,4,0.95,96,76,72,0.792,0.75
1000,0.1,3,0.95,96,76,71,0.792,0.74
1000,0.1,2,0.95,96,81,74,0.844,0.771
1000,0.1,1,0.95,96,83,74,0.865,0.771
1000,0.1,4,0.9,96,71,57,0.74,0.594
1000,0.1,3,0.9,96,72,60,0.75,0.625
1000,0.1,2,0.9,96,81,64,0.844,0.667
1000,0.1,1,0.9,96,71,59,0.74,0.615
1000,0.1,4,0.85,104,69,55,0.663,0.529
1000,0.1,3,0.85,104,71,57,0.683,0.548
1000,0.1,2,0.85,104,80,61,0.769,0.587
1000,0.1,1,0.85,104,81,59,0.779,0.567
1000,0.1,4,0.8,106,77,54,0.726,0.509
1000,0.1,3,0.8,106,80,56,0.755,0.528
1000,0.1,2,0.8,106,83,57,0.783,0.538
1000,0.1,1,0.8,106,74,51,0.698,0.481
1000,0.1,4,0.75,90,66,32,0.733,0.356
1000,0.1,3,0.75,90,68,32,0.756,0.356
1000,0.1,2,0.75,90,83,36,0.922,0.4
1000,0.1,1,0.75,90,76,39,0.844,0.433
1000,0.1,4,0.7,96,64,30,0.667,0.312
1000,0.1,3,0.7,96,66,30,0.688,0.312
1000,0.1,2,0.7,96,83,37,0.865,0.385
1000,0.1,1,0.7,96,76,36,0.792,0.375
100,0.1,4,1.0,11,9,9,0.818,0.818
100,0.1,3,1.0,11,9,9,0.818,0.818
100,0.1,2,1.0,11,9,9,0.818,0.818
100,0.1,1,1.0,11,10,9,0.909,0.818
100,0.1,4,0.95,11,7,7,0.636,0.636
100,0.1,3,0.95,11,8,7,0.727,0.636
100,0.1,2,0.95,11,8,7,0.727,0.636
100,0.1,1,0.95,11,7,7,0.636,0.636
100,0.1,4,0.9,13,9,9,0.692,0.692
100,0.1,3,0.9,13,9,9,0.692,0.692
100,0.1,2,0.9,13,11,10,0.846,0.769
100,0.1,1,0.9,13,12,11,0.923,0.846
100,0.1,4,0.85,9,7,7,0.778,0.778
100,0.1,3,0.85,9,7,7,0.778,0.778
100,0.1,2,0.85,9,8,8,0.889,0.889
100,0.1,1,0.85,9,8,8,0.889,0.889
100,0.1,4,0.8,7,6,4,0.857,0.571
100,0.1,3,0.8,7,6,4,0.857,0.571
100,0.1,2,0.8,7,6,4,0.857,0.571
100,0.1,1,0.8,7,6,4,0.857,0.571
100,0.1,4,0.75,8,6,2,0.75,0.25
100,0.1,3,0.75,8,4,2,0.5,0.25
100,0.1,2,0.75,8,9,5,1.125,0.625
100,0.1,1,0.75,8,8,4,1.0,0.5
100,0.1,4,0.7,8,7,4,0.875,0.5
100,0.1,3,0.7,8,6,4,0.75,0.5
100,0.1,2,0.7,8,7,4,0.875,0.5
100,0.1,1,0.7,8,5,3,0.625,0.375
100000,0.1,4,1.0,10075,9132,9119,0.906,0.905
100000,0.1,3,1.0,10075,9118,9102,0.905,0.903
100000,0.1,2,1.0,10075,9115,9078,0.905,0.901
100000,0.1,1,1.0,10075,8481,8158,0.842,0.81
100000,0.1,4,0.95,10041,8112,7864,0.808,0.783
100000,0.1,3,0.95,10041,8148,7898,0.811,0.787
100000,0.1,2,0.95,10041,8540,8102,0.851,0.807
100000,0.1,1,0.95,10041,7995,7322,0.796,0.729
100000,0.1,4,0.9,9911,7219,6628,0.728,0.669
100000,0.1,3,0.9,9911,7340,6757,0.741,0.682
100000,0.1,2,0.9,9911,8071,7125,0.814,0.719
100000,0.1,1,0.9,9911,7592,6524,0.766,0.658
100000,0.1,4,0.85,9974,6777,5586,0.679,0.56
100000,0.1,3,0.85,9974,7027,5821,0.705,0.584
100000,0.1,2,0.85,9974,7916,6253,0.794,0.627
100000,0.1,1,0.85,9974,7553,5845,0.757,0.586
100000,0.1,4,0.8,10016,6644,4791,0.663,0.478
100000,0.1,3,0.8,10016,7011,5100,0.7,0.509
100000,0.1,2,0.8,10016,8153,5604,0.814,0.56
100000,0.1,1,0.8,10016,7703,5301,0.769,0.529
100000,0.1,4,0.75,9860,6495,3866,0.659,0.392
100000,0.1,3,0.75,9860,6980,4227,0.708,0.429
100000,0.1,2,0.75,9860,8316,4749,0.843,0.482
100000,0.1,1,0.75,9860,7818,4571,0.793,0.464
100000,0.1,4,0.7,9972,6673,3235,0.669,0.324
100000,0.1,3,0.7,9972,7450,3608,0.747,0.362
100000,0.1,2,0.7,9972,8927,4096,0.895,0.411
100000,0.1,1,0.7,9972,8225,3984,0.825,0.4
10000,0.1,4,1.0,983,897,897,0.913,0.913
10000,0.1,3,1.0,983,909,906,0.925,0.922
10000,0.1,2,1.0,983,901,897,0.917,0.913
10000,0.1,1,1.0,983,833,799,0.847,0.813
10000,0.1,4,0.95,1029,830,810,0.807,0.787
10000,0.1,3,0.95,1029,839,819,0.815,0.796
10000,0.1,2,0.95,1029,885,840,0.86,0.816
10000,0.1,1,0.95,1029,826,764,0.803,0.742
10000,0.1,4,0.9,981,738,676,0.752,0.689
10000,0.1,3,0.9,981,754,695,0.769,0.708
10000,0.1,2,0.9,981,827,731,0.843,0.745
10000,0.1,1,0.9,981,780,672,0.795,0.685
10000,0.1,4,0.85,938,672,559,0.716,0.596
10000,0.1,3,0.85,938,704,586,0.751,0.625
10000,0.1,2,0.85,938,778,620,0.829,0.661
10000,0.1,1,0.85,938,747,584,0.796,0.623
10000,0.1,4,0.8,1008,682,502,0.677,0.498
10000,0.1,3,0.8,1008,700,523,0.694,0.519
10000,0.1,2,0.8,1008,809,562,0.803,0.558
10000,0.1,1,0.8,1008,753,517,0.747,0.513
10000,0.1,4,0.75,977,656,420,0.671,0.43
10000,0.1,3,0.75,977,743,470,0.76,0.481
10000,0.1,2,0.75,977,835,507,0.855,0.519
10000,0.1,1,0.75,977,786,486,0.805,0.497
10000,0.1,4,0.7,977,665,327,0.681,0.335
10000,0.1,3,0.7,977,730,354,0.747,0.362
10000,0.1,2,0.7,977,891,417,0.912,0.427
10000,0.1,1,0.7,977,826,399,0.845,0.408
1000,0.1,4,1.0,105,91,91,0.867,0.867
1000,0.1,3,1.0,105,91,91,0.867,0.867
1000,0.1,2,1.0,105,93,92,0.886,0.876
1000,0.1,1,1.0,105,93,88,0.886,0.838
1000,0.1,4,0.95,74,61,60,0.824,0.811
1000,0.1,3,0.95,74,61,60,0.824,0.811
1000,0.1,2,0.95,74,66,62,0.892,0.838
1000,0.1,1,0.95,74,66,60,0.892,0.811
1000,0.1,4,0.9,93,69,66,0.742,0.71
1000,0.1,3,0.9,93,66,64,0.71,0.688
1000,0.1,2,0.9,93,77,68,0.828,0.731
1000,0.1,1,0.9,93,76,65,0.817,0.699
1000,0.1,4,0.85,88,77,61,0.875,0.693
1000,0.1,3,0.85,88,73,60,0.83,0.682
1000,0.1,2,0.85,88,84,65,0.955,0.739
1000,0.1,1,0.85,88,77,59,0.875,0.67
1000,0.1,4,0.8,104,65,50,0.625,0.481
1000,0.1,3,0.8,104,67,52,0.644,0.5
1000,0.1,2,0.8,104,84,61,0.808,0.587
1000,0.1,1,0.8,104,82,54,0.788,0.519
1000,0.1,4,0.75,100,69,36,0.69,0.36
1000,0.1,3,0.75,100,79,38,0.79,0.38
1000,0.1,2,0.75,100,87,41,0.87,0.41
1000,0.1,1,0.75,100,85,44,0.85,0.44
1000,0.1,4,0.7,103,68,31,0.66,0.301
1000,0.1,3,0.7,103,76,35,0.738,0.34
1000,0.1,2,0.7,103,94,41,0.913,0.398
1000,0.1,1,0.7,103,86,45,0.835,0.437
100,0.1,4,1.0,4,4,4,1.0,1.0
100,0.1,3,1.0,4,4,4,1.0,1.0
100,0.1,2,1.0,4,4,4,1.0,1.0
100,0.1,1,1.0,4,4,4,1.0,1.0
100,0.1,4,0.95,12,10,9,0.833,0.75
100,0.1,3,0.95,12,10,9,0.833,0.75
100,0.1,2,0.95,12,10,9,0.833,0.75
100,0.1,1,0.95,12,8,7,0.667,0.583
100,0.1,4,0.9,6,3,3,0.5,0.5
100,0.1,3,0.9,6,3,3,0.5,0.5
100,0.1,2,0.9,6,5,4,0.833,0.667
100,0.1,1,0.9,6,5,4,0.833,0.667
100,0.1,4,0.85,7,5,5,0.714,0.714
100,0.1,3,0.85,7,6,6,0.857,0.857
100,0.1,2,0.85,7,6,6,0.857,0.857
100,0.1,1,0.85,7,4,4,0.571,0.571
100,0.1,4,0.8,11,11,6,1.0,0.545
100,0.1,3,0.8,11,10,6,0.909,0.545
100,0.1,2,0.8,11,10,6,0.909,0.545
100,0.1,1,0.8,11,10,6,0.909,0.545
100,0.1,4,0.75,6,5,4,0.833,0.667
100,0.1,3,0.75,6,6,4,1.0,0.667
100,0.1,2,0.75,6,6,4,1.0,0.667
100,0.1,1,0.75,6,6,4,1.0,0.667
100,0.1,4,0.7,15,7,6,0.467,0.4
100,0.1,3,0.7,15,9,6,0.6,0.4
100,0.1,2,0.7,15,14,7,0.933,0.467
100,0.1,1,0.7,15,10,7,0.667,0.467
100000,0.1,4,1.0,9830,8969,8941,0.912,0.91
100000,0.1,3,1.0,9830,8981,8953,0.914,0.911
100000,0.1,2,1.0,9830,8939,8896,0.909,0.905
100000,0.1,1,1.0,9830,8447,8110,0.859,0.825
100000,0.1,4,0.95,9947,8046,7827,0.809,0.787
100000,0.1,3,0.95,9947,8097,7880,0.814,0.792
100000,0.1,2,0.95,9947,8513,8098,0.856,0.814
100000,0.1,1,0.95,9947,8013,7364,0.806,0.74
100000,0.1,4,0.9,9814,7236,6590,0.737,0.671
100000,0.1,3,0.9,9814,7317,6702,0.746,0.683
100000,0.1,2,0.9,9814,8112,7096,0.827,0.723
100000,0.1,1,0.9,9814,7706,6555,0.785,0.668
100000,0.1,4,0.85,9917,6898,5700,0.696,0.575
100000,0.1,3,0.85,9917,7060,5889,0.712,0.594
100000,0.1,2,0.85,9917,8100,6382,0.817,0.644
100000,0.1,1,0.85,9917,7657,5944,0.772,0.599
100000,0.1,4,0.8,10004,6555,4688,0.655,0.469
100000,0.1,3,0.8,10004,6934,5020,0.693,0.502
100000,0.1,2,0.8,10004,8067,5511,0.806,0.551
100000,0.1,1,0.8,10004,7665,5246,0.766,0.524
100000,0.1,4,0.75,10010,6607,3986,0.66,0.398
100000,0.1,3,0.75,10010,7196,4353,0.719,0.435
100000,0.1,2,0.75,10010,8484,4879,0.848,0.487
100000,0.1,1,0.75,10010,7870,4651,0.786,0.465
100000,0.1,4,0.7,10023,6658,3349,0.664,0.334
100000,0.1,3,0.7,10023,7437,3732,0.742,0.372
100000,0.1,2,0.7,10023,8891,4214,0.887,0.42
100000,0.1,1,0.7,10023,8067,4070,0.805,0.406
10000,0.1,4,1.0,964,877,875,0.91,0.908
10000,0.1,3,1.0,964,878,877,0.911,0.91
10000,0.1,2,1.0,964,882,877,0.915,0.91
10000,0.1,1,1.0,964,819,792,0.85,0.822
10000,0.1,4,0.95,965,759,743,0.787,0.77
10000,0.1,3,0.95,965,773,753,0.801,0.78
10000,0.1,2,0.95,965,806,770,0.835,0.798
10000,0.1,1,0.95,965,766,710,0.794,0.736
10000,0.1,4,0.9,1000,708,642,0.708,0.642
10000,0.1,3,0.9,1000,706,647,0.706,0.647
10000,0.1,2,0.9,1000,773,684,0.773,0.684
10000,0.1,1,0.9,1000,741,637,0.741,0.637
10000,0.1,4,0.85,979,649,520,0.663,0.531
10000,0.1,3,0.85,979,674,546,0.688,0.558
10000,0.1,2,0.85,979,784,592,0.801,0.605
10000,0.1,1,0.85,979,735,557,0.751,0.569
10000,0.1,4,0.8,962,598,416,0.622,0.432
10000,0.1,3,0.8,962,625,440,0.65,0.457
10000,0.1,2,0.8,962,763,498,0.793,0.518
10000,0.1,1,0.8,962,699,467,0.727,0.485
10000,0.1,4,0.75,948,649,414,0.685,0.437
10000,0.1,3,0.75,948,691,435,0.729,0.459
10000,0.1,2,0.75,948,811,490,0.855,0.517
10000,0.1,1,0.75,948,792,474,0.835,0.5
10000,0.1,4,0.7,1041,717,354,0.689,0.34
10000,0.1,3,0.7,1041,816,396,0.784,0.38
10000,0.1,2,0.7,1041,951,432,0.914,0.415
10000,0.1,1,0.7,1041,887,424,0.852,0.407
1000,0.1,4,1.0,96,89,89,0.927,0.927
1000,0.1,3,1.0,96,89,89,0.927,0.927
1000,0.1,2,1.0,96,88,88,0.917,0.917
1000,0.1,1,1.0,96,78,74,0.812,0.771
1000,0.1,4,0.95,86,70,69,0.814,0.802
1000,0.1,3,0.95,86,72,71,0.837,0.826
1000,0.1,2,0.95,86,74,72,0.86,0.837
1000,0.1,1,0.95,86,70,66,0.814,0.767
1000,0.1,4,0.9,102,77,74,0.755,0.725
1000,0.1,3,0.9,102,80,76,0.784,0.745
1000,0.1,2,0.9,102,86,77,0.843,0.755
1000,0.1,1,0.9,102,83,74,0.814,0.725
1000,0.1,4,0.85,108,72,62,0.667,0.574
1000,0.1,3,0.85,108,77,65,0.713,0.602
1000,0.1,2,0.85,108,83,67,0.769,0.62
1000,0.1,1,0.85,108,85,69,0.787,0.639
1000,0.1,4,0.8,82,61,37,0.744,0.451
1000,0.1,3,0.8,82,66,44,0.805,0.537
1000,0.1,2,0.8,82,76,47,0.927,0.573
1000,0.1,1,0.8,82,74,48,0.902,0.585
1000,0.1,4,0.75,86,64,42,0.744,0.488
1000,0.1,3,0.75,86,68,41,0.791,0.477
1000,0.1,2,0.75,86,80,47,0.93,0.547
1000,0.1,1,0.75,86,74,48,0.86,0.558
1000,0.1,4,0.7,110,61,29,0.555,0.264
1000,0.1,3,0.7,110,68,31,0.618,0.282
1000,0.1,2,0.7,110,81,39,0.736,0.355
1000,0.1,1,0.7,110,81,39,0.736,0.355
100,0.1,4,1.0,12,12,12,1.0,1.0
100,0.1,3,1.0,12,12,12,1.0,1.0
100,0.1,2,1.0,12,12,12,1.0,1.0
100,0.1,1,1.0,12,12,12,1.0,1.0
100,0.1,4,0.95,8,8,8,1.0,1.0
100,0.1,3,0.95,8,8,8,1.0,1.0
100,0.1,2,0.95,8,8,8,1.0,1.0
100,0.1,1,0.95,8,9,8,1.125,1.0
100,0.1,4,0.9,7,5,5,0.714,0.714
100,0.1,3,0.9,7,5,5,0.714,0.714
100,0.1,2,0.9,7,5,5,0.714,0.714
100,0.1,1,0.9,7,5,5,0.714,0.714
100,0.1,4,0.85,6,7,5,1.167,0.833
100,0.1,3,0.85,6,7,5,1.167,0.833
100,0.1,2,0.85,6,9,6,1.5,1.0
100,0.1,1,0.85,6,10,6,1.667,1.0
100,0.1,4,0.8,8,5,5,0.625,0.625
100,0.1,3,0.8,8,5,5,0.625,0.625
100,0.1,2,0.8,8,5,5,0.625,0.625
100,0.1,1,0.8,8,5,5,0.625,0.625
100,0.1,4,0.75,6,9,3,1.5,0.5
100,0.1,3,0.75,6,7,3,1.167,0.5
100,0.1,2,0.75,6,8,3,1.333,0.5
100,0.1,1,0.75,6,6,3,1.0,0.5
100,0.1,4,0.7,13,8,2,0.615,0.154
100,0.1,3,0.7,13,8,2,0.615,0.154
100,0.1,2,0.7,13,7,2,0.538,0.154
100,0.1,1,0.7,13,10,3,0.769,0.231
100000,0.1,4,1.0,10019,9067,9044,0.905,0.903
100000,0.1,3,1.0,10019,9088,9056,0.907,0.904
100000,0.1,2,1.0,10019,9063,9013,0.905,0.9
100000,0.1,1,1.0,10019,8353,8043,0.834,0.803
100000,0.1,4,0.95,10069,8085,7883,0.803,0.783
100000,0.1,3,0.95,10069,8169,7965,0.811,0.791
100000,0.1,2,0.95,10069,8531,8143,0.847,0.809
100000,0.1,1,0.95,10069,7997,7387,0.794,0.734
100000,0.1,4,0.9,9901,7329,6659,0.74,0.673
100000,0.1,3,0.9,9901,7483,6832,0.756,0.69
100000,0.1,2,0.9,9901,8202,7200,0.828,0.727
100000,0.1,1,0.9,9901,7675,6585,0.775,0.665
100000,0.1,4,0.85,9987,6761,5547,0.677,0.555
100000,0.1,3,0.85,9987,7019,5790,0.703,0.58
100000,0.1,2,0.85,9987,7994,6259,0.8,0.627
100000,0.1,1,0.85,9987,7598,5824,0.761,0.583
100000,0.1,4,0.8,9774,6507,4582,0.666,0.469
100000,0.1,3,0.8,9774,6898,4908,0.706,0.502
100000,0.1,2,0.8,9774,8015,5402,0.82,0.553
100000,0.1,1,0.8,9774,7558,5141,0.773,0.526
100000,0.1,4,0.75,10104,6610,3980,0.654,0.394
100000,0.1,3,0.75,10104,7243,4382,0.717,0.434
100000,0.1,2,0.75,10104,8610,4916,0.852,0.487
100000,0.1,1,0.75,10104,8052,4700,0.797,0.465
100000,0.1,4,0.7,9877,6687,3266,0.677,0.331
100000,0.1,3,0.7,9877,7623,3752,0.772,0.38
100000,0.1,2,0.7,9877,9102,4287,0.922,0.434
100000,0.1,1,0.7,9877,8247,4096,0.835,0.415
10000,0.1,4,1.0,997,917,916,0.92,0.919
10000,0.1,3,1.0,997,908,907,0.911,0.91
10000,0.1,2,1.0,997,915,909,0.918,0.912
10000,0.1,1,1.0,997,857,828,0.86,0.83
10000,0.1,4,0.95,983,786,763,0.8,0.776
10000,0.1,3,0.95,983,791,768,0.805,0.781
10000,0.1,2,0.95,983,836,793,0.85,0.807
10000,0.1,1,0.95,983,769,707,0.782,0.719
10000,0.1,4,0.9,943,716,650,0.759,0.689
10000,0.1,3,0.9,943,717,657,0.76,0.697
10000,0.1,2,0.9,943,785,687,0.832,0.729
10000,0.1,1,0.9,943,745,632,0.79,0.67
10000,0.1,4,0.85,1056,720,592,0.682,0.561
10000,0.1,3,0.85,1056,730,618,0.691,0.585
10000,0.1,2,0.85,1056,828,665,0.784,0.63
10000,0.1,1,0.85,1056,794,627,0.752,0.594
10000,0.1,4,0.8,995,635,450,0.638,0.452
10000,0.1,3,0.8,995,669,469,0.672,0.471
10000,0.1,2,0.8,995,763,518,0.767,0.521
10000,0.1,1,0.8,995,725,491,0.729,0.493
10000,0.1,4,0.75,974,627,376,0.644,0.386
10000,0.1,3,0.75,974,698,423,0.717,0.434
10000,0.1,2,0.75,974,824,469,0.846,0.482
10000,0.1,1,0.75,974,752,462,0.772,0.474
10000,0.1,4,0.7,994,656,317,0.66,0.319
10000,0.1,3,0.7,994,748,374,0.753,0.376
10000,0.1,2,0.7,994,900,432,0.905,0.435
10000,0.1,1,0.7,994,839,425,0.844,0.428
1000,0.1,4,1.0,113,104,104,0.92,0.92
1000,0.1,3,1.0,113,105,105,0.929,0.929
1000,0.1,2,1.0,113,105,105,0.929,0.929
1000,0.1,1,1.0,113,99,97,0.876,0.858
1000,0.1,4,0.95,120,92,90,0.767,0.75
1000,0.1,3,0.95,120,94,93,0.783,0.775
1000,0.1,2,0.95,120,103,98,0.858,0.817
1000,0.1,1,0.95,120,97,89,0.808,0.742
1000,0.1,4,0.9,111,73,71,0.658,0.64
1000,0.1,3,0.9,111,77,74,0.694,0.667
1000,0.1,2,0.9,111,82,75,0.739,0.676
1000,0.1,1,0.9,111,73,68,0.658,0.613
1000,0.1,4,0.85,103,80,64,0.777,0.621
1000,0.1,3,0.85,103,80,65,0.777,0.631
1000,0.1,2,0.85,103,91,72,0.883,0.699
1000,0.1,1,0.85,103,88,63,0.854,0.612
1000,0.1,4,0.8,89,64,41,0.719,0.461
1000,0.1,3,0.8,89,72,43,0.809,0.483
1000,0.1,2,0.8,89,83,48,0.933,0.539
1000,0.1,1,0.8,89,78,49,0.876,0.551
1000,0.1,4,0.75,108,76,53,0.704,0.491
