InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,Ratio
100000,0.01,4,0.97,920,751,725,0.816,0.787,0.90000000000000047
100000,0.01,3,0.97,920,687,665,0.747,0.722,0.90000000000000047
100000,0.01,2,0.97,920,851,719,0.925,0.781,0.90000000000000047
100000,0.01,1,0.97,920,0,0,0.0,0.0,0.90000000000000047
100000,0.01,11,0.97,990,673,653,0.68,0.659,0.87500000000000044
100000,0.01,10,0.97,990,685,667,0.692,0.673,0.87500000000000044
100000,0.01,9,0.97,990,718,697,0.725,0.703,0.87500000000000044
100000,0.01,8,0.97,990,742,718,0.749,0.725,0.87500000000000044
100000,0.01,7,0.97,990,762,736,0.77,0.743,0.87500000000000044
100000,0.01,6,0.97,990,778,750,0.786,0.757,0.87500000000000044
100000,0.01,5,0.97,990,799,770,0.807,0.777,0.87500000000000044
100000,0.01,4,0.97,990,794,763,0.802,0.77,0.87500000000000044
100000,0.01,3,0.97,990,725,699,0.732,0.705,0.87500000000000044
100000,0.01,2,0.97,990,909,756,0.918,0.763,0.87500000000000044
100000,0.01,1,0.97,990,0,0,0.0,0.0,0.87500000000000044
100000,0.01,11,0.97,978,623,608,0.637,0.621,0.85000000000000042
100000,0.01,10,0.97,978,645,627,0.66,0.64,0.85000000000000042
100000,0.01,9,0.97,978,670,650,0.685,0.664,0.85000000000000042
100000,0.01,8,0.97,978,684,661,0.699,0.675,0.85000000000000042
100000,0.01,7,0.97,978,723,700,0.739,0.715,0.85000000000000042
100000,0.01,6,0.97,978,735,711,0.752,0.726,0.85000000000000042
100000,0.01,5,0.97,978,735,714,0.752,0.729,0.85000000000000042
100000,0.01,4,0.97,978,737,709,0.754,0.724,0.85000000000000042
100000,0.01,3,0.97,978,695,670,0.711,0.684,0.85000000000000042
100000,0.01,2,0.97,978,900,718,0.92,0.733,0.85000000000000042
100000,0.01,1,0.97,978,0,0,0.0,0.0,0.85000000000000042
100000,0.01,11,0.97,949,593,573,0.625,0.603,0.8250000000000004
100000,0.01,10,0.97,949,616,595,0.649,0.626,0.8250000000000004
100000,0.01,9,0.97,949,657,635,0.692,0.668,0.8250000000000004
100000,0.01,8,0.97,949,669,644,0.705,0.678,0.8250000000000004
100000,0.01,7,0.97,949,687,664,0.724,0.699,0.8250000000000004
100000,0.01,6,0.97,949,704,680,0.742,0.716,0.8250000000000004
100000,0.01,5,0.97,949,713,688,0.751,0.724,0.8250000000000004
100000,0.01,4,0.97,949,702,669,0.74,0.704,0.8250000000000004
100000,0.01,3,0.97,949,655,623,0.69,0.656,0.8250000000000004
100000,0.01,2,0.97,949,885,670,0.933,0.705,0.8250000000000004
100000,0.01,1,0.97,949,0,0,0.0,0.0,0.8250000000000004
100000,0.01,11,0.97,995,582,565,0.585,0.567,0.80000000000000038
100000,0.01,10,0.97,995,607,589,0.61,0.591,0.80000000000000038
100000,0.01,9,0.97,995,633,612,0.636,0.614,0.80000000000000038
100000,0.01,8,0.97,995,657,635,0.66,0.638,0.80000000000000038
100000,0.01,7,0.97,995,672,650,0.675,0.653,0.80000000000000038
100000,0.01,6,0.97,995,690,669,0.693,0.672,0.80000000000000038
100000,0.01,5,0.97,995,702,676,0.706,0.679,0.80000000000000038
100000,0.01,4,0.97,995,700,668,0.704,0.671,0.80000000000000038
100000,0.01,3,0.97,995,653,621,0.656,0.623,0.80000000000000038
100000,0.01,2,0.97,995,931,676,0.936,0.679,0.80000000000000038
100000,0.01,1,0.97,995,0,0,0.0,0.0,0.80000000000000038
100000,0.01,11,0.97,997,565,554,0.567,0.555,0.77500000000000036
100000,0.01,10,0.97,997,580,567,0.582,0.568,0.77500000000000036
100000,0.01,9,0.97,997,603,590,0.605,0.591,0.77500000000000036
100000,0.01,8,0.97,997,616,604,0.618,0.605,0.77500000000000036
100000,0.01,7,0.97,997,638,626,0.64,0.627,0.77500000000000036
100000,0.01,6,0.97,997,654,642,0.656,0.643,0.77500000000000036
100000,0.01,5,0.97,997,674,657,0.676,0.658,0.77500000000000036
100000,0.01,4,0.97,997,682,650,0.684,0.651,0.77500000000000036
100000,0.01,3,0.97,997,633,606,0.635,0.607,0.77500000000000036
100000,0.01,2,0.97,997,792,544,0.794,0.545,0.77500000000000036
100000,0.01,1,0.97,997,0,0,0.0,0.0,0.77500000000000036
100000,0.01,11,0.97,1059,579,559,0.547,0.527,0.75000000000000033
100000,0.01,10,0.97,1059,607,589,0.573,0.556,0.75000000000000033
100000,0.01,9,0.97,1059,633,615,0.598,0.58,0.75000000000000033
100000,0.01,8,0.97,1059,641,621,0.605,0.586,0.75000000000000033
100000,0.01,7,0.97,1059,678,657,0.64,0.62,0.75000000000000033
100000,0.01,6,0.97,1059,695,674,0.656,0.636,0.75000000000000033
100000,0.01,5,0.97,1059,711,683,0.671,0.644,0.75000000000000033
100000,0.01,4,0.97,1059,710,665,0.67,0.627,0.75000000000000033
100000,0.01,3,0.97,1059,662,622,0.625,0.587,0.75000000000000033
100000,0.01,2,0.97,1059,463,327,0.437,0.308,0.75000000000000033
100000,0.01,1,0.97,1059,0,0,0.0,0.0,0.75000000000000033
100000,0.01,11,0.97,982,519,497,0.529,0.506,0.72500000000000031
100000,0.01,10,0.97,982,532,509,0.542,0.518,0.72500000000000031
100000,0.01,9,0.97,982,556,533,0.566,0.542,0.72500000000000031
100000,0.01,8,0.97,982,563,540,0.573,0.549,0.72500000000000031
100000,0.01,7,0.97,982,577,553,0.588,0.563,0.72500000000000031
100000,0.01,6,0.97,982,609,585,0.62,0.595,0.72500000000000031
100000,0.01,5,0.97,982,618,594,0.629,0.604,0.72500000000000031
100000,0.01,4,0.97,982,617,579,0.628,0.589,0.72500000000000031
100000,0.01,3,0.97,982,584,556,0.595,0.566,0.72500000000000031
100000,0.01,2,0.97,982,0,0,0.0,0.0,0.72500000000000031
100000,0.01,1,0.97,982,0,0,0.0,0.0,0.72500000000000031
100000,0.01,11,0.97,1030,515,499,0.5,0.484,0.70000000000000029
100000,0.01,10,0.97,1030,545,524,0.529,0.508,0.70000000000000029
100000,0.01,9,0.97,1030,572,552,0.555,0.535,0.70000000000000029
100000,0.01,8,0.97,1030,595,575,0.578,0.558,0.70000000000000029
100000,0.01,7,0.97,1030,619,599,0.601,0.581,0.70000000000000029
100000,0.01,6,0.97,1030,626,608,0.608,0.59,0.70000000000000029
100000,0.01,5,0.97,1030,657,631,0.638,0.612,0.70000000000000029
100000,0.01,4,0.97,1030,655,613,0.636,0.595,0.70000000000000029
100000,0.01,3,0.97,1030,632,594,0.614,0.576,0.70000000000000029
100000,0.01,2,0.97,1030,0,0,0.0,0.0,0.70000000000000029
100000,0.01,1,0.97,1030,0,0,0.0,0.0,0.70000000000000029
100000,0.01,11,0.97,966,482,469,0.499,0.485,0.67500000000000027
100000,0.01,10,0.97,966,499,488,0.517,0.505,0.67500000000000027
100000,0.01,9,0.97,966,524,514,0.542,0.532,0.67500000000000027
100000,0.01,8,0.97,966,560,546,0.58,0.565,0.67500000000000027
100000,0.01,7,0.97,966,570,556,0.59,0.575,0.67500000000000027
100000,0.01,6,0.97,966,583,571,0.604,0.59,0.67500000000000027
100000,0.01,5,0.97,966,598,580,0.619,0.6,0.67500000000000027
100000,0.01,4,0.97,966,595,566,0.616,0.585,0.67500000000000027
100000,0.01,3,0.97,966,575,539,0.595,0.557,0.67500000000000027
100000,0.01,2,0.97,966,0,0,0.0,0.0,0.67500000000000027
100000,0.01,1,0.97,966,0,0,0.0,0.0,0.67500000000000027
100000,0.01,11,0.97,974,472,455,0.485,0.467,0.65000000000000024
100000,0.01,10,0.97,974,495,476,0.508,0.488,0.65000000000000024
100000,0.01,9,0.97,974,517,497,0.531,0.51,0.65000000000000024
100000,0.01,8,0.97,974,533,513,0.547,0.526,0.65000000000000024
100000,0.01,7,0.97,974,555,533,0.57,0.547,0.65000000000000024
100000,0.01,6,0.97,974,579,555,0.594,0.569,0.65000000000000024
100000,0.01,5,0.97,974,591,564,0.607,0.578,0.65000000000000024
100000,0.01,4,0.97,974,590,554,0.606,0.568,0.65000000000000024
100000,0.01,3,0.97,974,583,545,0.599,0.559,0.65000000000000024
100000,0.01,2,0.97,974,0,0,0.0,0.0,0.65000000000000024
100000,0.01,1,0.97,974,0,0,0.0,0.0,0.65000000000000024
100000,0.01,11,0.97,1018,448,422,0.44,0.414,0.62500000000000022
100000,0.01,10,0.97,1018,462,439,0.454,0.431,0.62500000000000022
100000,0.01,9,0.97,1018,481,458,0.472,0.449,0.62500000000000022
100000,0.01,8,0.97,1018,507,482,0.498,0.473,0.62500000000000022
100000,0.01,7,0.97,1018,523,499,0.514,0.49,0.62500000000000022
100000,0.01,6,0.97,1018,539,518,0.529,0.508,0.62500000000000022
100000,0.01,5,0.97,1018,560,535,0.55,0.525,0.62500000000000022
100000,0.01,4,0.97,1018,564,521,0.554,0.511,0.62500000000000022
100000,0.01,3,0.97,1018,557,512,0.547,0.502,0.62500000000000022
100000,0.01,2,0.97,1018,0,0,0.0,0.0,0.62500000000000022
100000,0.01,1,0.97,1018,0,0,0.0,0.0,0.62500000000000022
100000,0.01,11,0.97,974,429,410,0.44,0.421,0.6000000000000002
100000,0.01,10,0.97,974,458,435,0.47,0.446,0.6000000000000002
100000,0.01,9,0.97,974,470,448,0.483,0.459,0.6000000000000002
100000,0.01,8,0.97,974,482,457,0.495,0.469,0.6000000000000002
100000,0.01,7,0.97,974,496,475,0.509,0.487,0.6000000000000002
100000,0.01,6,0.97,974,508,488,0.522,0.501,0.6000000000000002
100000,0.01,5,0.97,974,505,489,0.518,0.502,0.6000000000000002
100000,0.01,4,0.97,974,519,483,0.533,0.495,0.6000000000000002
100000,0.01,3,0.97,974,513,469,0.527,0.481,0.6000000000000002
100000,0.01,2,0.97,974,0,0,0.0,0.0,0.6000000000000002
100000,0.01,1,0.97,974,0,0,0.0,0.0,0.6000000000000002
100000,0.01,11,0.97,1009,365,349,0.362,0.346,0.57500000000000018
100000,0.01,10,0.97,1009,385,365,0.382,0.361,0.57500000000000018
100000,0.01,9,0.97,1009,421,403,0.417,0.399,0.57500000000000018
100000,0.01,8,0.97,1009,447,427,0.443,0.423,0.57500000000000018
100000,0.01,7,0.97,1009,463,441,0.459,0.437,0.57500000000000018
100000,0.01,6,0.97,1009,487,463,0.483,0.458,0.57500000000000018
100000,0.01,5,0.97,1009,498,474,0.494,0.469,0.57500000000000018
100000,0.01,4,0.97,1009,491,455,0.487,0.45,0.57500000000000018
100000,0.01,3,0.97,1009,484,448,0.48,0.444,0.57500000000000018
100000,0.01,2,0.97,1009,0,0,0.0,0.0,0.57500000000000018
100000,0.01,1,0.97,1009,0,0,0.0,0.0,0.57500000000000018
100000,0.01,11,0.97,1032,360,346,0.349,0.335,0.55000000000000016
100000,0.01,10,0.97,1032,377,363,0.365,0.351,0.55000000000000016
100000,0.01,9,0.97,1032,400,388,0.388,0.376,0.55000000000000016
100000,0.01,8,0.97,1032,417,404,0.404,0.391,0.55000000000000016
100000,0.01,7,0.97,1032,448,433,0.434,0.419,0.55000000000000016
100000,0.01,6,0.97,1032,468,455,0.453,0.44,0.55000000000000016
100000,0.01,5,0.97,1032,478,464,0.463,0.449,0.55000000000000016
100000,0.01,4,0.97,1032,475,446,0.46,0.432,0.55000000000000016
100000,0.01,3,0.97,1032,490,441,0.475,0.427,0.55000000000000016
100000,0.01,2,0.97,1032,0,0,0.0,0.0,0.55000000000000016
100000,0.01,1,0.97,1032,0,0,0.0,0.0,0.55000000000000016
100000,0.01,11,0.97,996,300,287,0.301,0.288,0.52500000000000013
100000,0.01,10,0.97,996,325,310,0.326,0.311,0.52500000000000013
100000,0.01,9,0.97,996,371,354,0.372,0.355,0.52500000000000013
100000,0.01,8,0.97,996,390,376,0.392,0.377,0.52500000000000013
100000,0.01,7,0.97,996,408,390,0.41,0.391,0.52500000000000013
100000,0.01,6,0.97,996,424,405,0.426,0.406,0.52500000000000013
100000,0.01,5,0.97,996,447,430,0.449,0.431,0.52500000000000013
100000,0.01,4,0.97,996,457,428,0.459,0.429,0.52500000000000013
100000,0.01,3,0.97,996,462,423,0.464,0.424,0.52500000000000013
100000,0.01,2,0.97,996,0,0,0.0,0.0,0.52500000000000013
100000,0.01,1,0.97,996,0,0,0.0,0.0,0.52500000000000013
100000,0.01,11,0.97,1053,309,295,0.293,0.28,0.50000000000000011
100000,0.01,10,0.97,1053,326,314,0.31,0.298,0.50000000000000011
100000,0.01,9,0.97,1053,342,329,0.325,0.312,0.50000000000000011
100000,0.01,8,0.97,1053,355,344,0.337,0.326,0.50000000000000011
100000,0.01,7,0.97,1053,388,370,0.368,0.351,0.50000000000000011
100000,0.01,6,0.97,1053,421,404,0.4,0.383,0.50000000000000011
100000,0.01,5,0.97,1053,443,425,0.421,0.403,0.50000000000000011
100000,0.01,4,0.97,1053,451,417,0.428,0.396,0.50000000000000011
100000,0.01,3,0.97,1053,462,420,0.439,0.398,0.50000000000000011
100000,0.01,2,0.97,1053,0,0,0.0,0.0,0.50000000000000011
100000,0.01,1,0.97,1053,0,0,0.0,0.0,0.50000000000000011
100000,0.01,11,0.97,1055,271,268,0.257,0.254,0.47500000000000009
100000,0.01,10,0.97,1055,288,285,0.273,0.27,0.47500000000000009
100000,0.01,9,0.97,1055,301,295,0.285,0.279,0.47500000000000009
100000,0.01,8,0.97,1055,313,308,0.297,0.292,0.47500000000000009
100000,0.01,7,0.97,1055,334,329,0.317,0.312,0.47500000000000009
100000,0.01,6,0.97,1055,356,350,0.337,0.331,0.47500000000000009
100000,0.01,5,0.97,1055,375,368,0.355,0.348,0.47500000000000009
100000,0.01,4,0.97,1055,383,365,0.363,0.346,0.47500000000000009
100000,0.01,3,0.97,1055,429,386,0.407,0.366,0.47500000000000009
100000,0.01,2,0.97,1055,0,0,0.0,0.0,0.47500000000000009
100000,0.01,1,0.97,1055,0,0,0.0,0.0,0.47500000000000009
100000,0.01,11,0.97,985,221,211,0.224,0.214,0.45000000000000007
100000,0.01,10,0.97,985,242,233,0.246,0.236,0.45000000000000007
100000,0.01,9,0.97,985,273,263,0.277,0.267,0.45000000000000007
100000,0.01,8,0.97,985,299,288,0.304,0.292,0.45000000000000007
100000,0.01,7,0.97,985,323,310,0.328,0.314,0.45000000000000007
100000,0.01,6,0.97,985,338,322,0.343,0.327,0.45000000000000007
100000,0.01,5,0.97,985,362,344,0.368,0.349,0.45000000000000007
100000,0.01,4,0.97,985,370,347,0.376,0.352,0.45000000000000007
100000,0.01,3,0.97,985,415,358,0.421,0.363,0.45000000000000007
100000,0.01,2,0.97,985,0,0,0.0,0.0,0.45000000000000007
100000,0.01,1,0.97,985,0,0,0.0,0.0,0.45000000000000007
100000,0.01,11,0.97,996,201,195,0.202,0.196,0.42500000000000004
100000,0.01,10,0.97,996,216,209,0.217,0.21,0.42500000000000004
100000,0.01,9,0.97,996,234,224,0.235,0.225,0.42500000000000004
100000,0.01,8,0.97,996,250,240,0.251,0.241,0.42500000000000004
100000,0.01,7,0.97,996,271,257,0.272,0.258,0.42500000000000004
100000,0.01,6,0.97,996,296,282,0.297,0.283,0.42500000000000004
100000,0.01,5,0.97,996,325,308,0.326,0.309,0.42500000000000004
100000,0.01,4,0.97,996,358,330,0.359,0.331,0.42500000000000004
100000,0.01,3,0.97,996,394,345,0.396,0.346,0.42500000000000004
100000,0.01,2,0.97,996,0,0,0.0,0.0,0.42500000000000004
100000,0.01,1,0.97,996,0,0,0.0,0.0,0.42500000000000004
100000,0.01,11,0.97,1039,197,191,0.19,0.184,0.40000000000000002
100000,0.01,10,0.97,1039,209,203,0.201,0.195,0.40000000000000002
100000,0.01,9,0.97,1039,222,215,0.214,0.207,0.40000000000000002
100000,0.01,8,0.97,1039,231,224,0.222,0.215,0.40000000000000002
100000,0.01,7,0.97,1039,251,244,0.242,0.235,0.40000000000000002
100000,0.01,6,0.97,1039,270,260,0.26,0.25,0.40000000000000002
100000,0.01,5,0.97,1039,291,281,0.28,0.27,0.40000000000000002
100000,0.01,4,0.97,1039,308,297,0.296,0.286,0.40000000000000002
100000,0.01,3,0.97,1039,364,323,0.35,0.311,0.40000000000000002
100000,0.01,2,0.97,1039,0,0,0.0,0.0,0.40000000000000002
100000,0.01,1,0.97,1039,0,0,0.0,0.0,0.40000000000000002
100000,0.05,11,0.97,5002,2712,2668,0.542,0.533,1.0000000000000004
100000,0.05,10,0.97,5002,3055,2989,0.611,0.597,1.0000000000000004
100000,0.05,9,0.97,5002,3392,3317,0.678,0.663,1.0000000000000004
100000,0.05,8,0.97,5002,3694,3607,0.739,0.721,1.0000000000000004
100000,0.05,7,0.97,5002,3979,3873,0.795,0.774,1.0000000000000004
100000,0.05,6,0.97,5002,4282,4145,0.856,0.829,1.0000000000000004
100000,0.05,5,0.97,5002,4493,4351,0.898,0.87,1.0000000000000004
100000,0.05,4,0.97,5002,4485,4353,0.897,0.87,1.0000000000000004
100000,0.05,3,0.97,5002,4373,4321,0.874,0.864,1.0000000000000004
100000,0.05,2,0.97,5002,3693,3674,0.738,0.734,1.0000000000000004
100000,0.05,1,0.97,5002,0,0,0.0,0.0,1.0000000000000004
100000,0.05,11,0.97,4893,2595,2551,0.53,0.521,0.97500000000000053
100000,0.05,10,0.97,4893,2928,2876,0.598,0.588,0.97500000000000053
100000,0.05,9,0.97,4893,3244,3178,0.663,0.649,0.97500000000000053
100000,0.05,8,0.97,4893,3557,3479,0.727,0.711,0.97500000000000053
100000,0.05,7,0.97,4893,3838,3731,0.784,0.762,0.97500000000000053
100000,0.05,6,0.97,4893,4120,3994,0.842,0.816,0.97500000000000053
100000,0.05,5,0.97,4893,4319,4171,0.883,0.852,0.97500000000000053
100000,0.05,4,0.97,4893,4312,4170,0.881,0.852,0.97500000000000053
100000,0.05,3,0.97,4893,4247,4167,0.868,0.851,0.97500000000000053
100000,0.05,2,0.97,4893,3573,3530,0.73,0.721,0.97500000000000053
100000,0.05,1,0.97,4893,0,0,0.0,0.0,0.97500000000000053
100000,0.05,11,0.97,4945,2508,2457,0.507,0.497,0.95000000000000051
100000,0.05,10,0.97,4945,2823,2761,0.571,0.558,0.95000000000000051
100000,0.05,9,0.97,4945,3153,3081,0.638,0.623,0.95000000000000051
100000,0.05,8,0.97,4945,3486,3400,0.705,0.687,0.95000000000000051
100000,0.05,7,0.97,4945,3769,3661,0.762,0.74,0.95000000000000051
100000,0.05,6,0.97,4945,4036,3916,0.816,0.792,0.95000000000000051
100000,0.05,5,0.97,4945,4249,4109,0.859,0.831,0.95000000000000051
100000,0.05,4,0.97,4945,4271,4116,0.864,0.832,0.95000000000000051
100000,0.05,3,0.97,4945,4195,4075,0.848,0.824,0.95000000000000051
100000,0.05,2,0.97,4945,3560,3481,0.72,0.704,0.95000000000000051
100000,0.05,1,0.97,4945,0,0,0.0,0.0,0.95000000000000051
100000,0.05,11,0.97,5005,2407,2374,0.481,0.474,0.92500000000000049
100000,0.05,10,0.97,5005,2698,2646,0.539,0.529,0.92500000000000049
100000,0.05,9,0.97,5005,2988,2926,0.597,0.584,0.92500000000000049
100000,0.05,8,0.97,5005,3283,3214,0.656,0.642,0.92500000000000049
100000,0.05,7,0.97,5005,3577,3475,0.715,0.694,0.92500000000000049
100000,0.05,6,0.97,5005,3848,3725,0.769,0.744,0.92500000000000049
100000,0.05,5,0.97,5005,4041,3891,0.807,0.777,0.92500000000000049
100000,0.05,4,0.97,5005,4112,3957,0.822,0.79,0.92500000000000049
100000,0.05,3,0.97,5005,4070,3929,0.813,0.785,0.92500000000000049
100000,0.05,2,0.97,5005,3511,3402,0.701,0.68,0.92500000000000049
100000,0.05,1,0.97,5005,0,0,0.0,0.0,0.92500000000000049
100000,0.05,11,0.97,5028,2352,2314,0.468,0.46,0.90000000000000047
100000,0.05,10,0.97,5028,2625,2582,0.522,0.513,0.90000000000000047
100000,0.05,9,0.97,5028,2932,2881,0.583,0.573,0.90000000000000047
100000,0.05,8,0.97,5028,3220,3154,0.64,0.627,0.90000000000000047
100000,0.05,7,0.97,5028,3498,3424,0.696,0.681,0.90000000000000047
100000,0.05,6,0.97,5028,3740,3654,0.744,0.727,0.90000000000000047
100000,0.05,5,0.97,5028,3976,3857,0.791,0.767,0.90000000000000047
100000,0.05,4,0.97,5028,4047,3894,0.805,0.774,0.90000000000000047
100000,0.05,3,0.97,5028,4010,3850,0.798,0.766,0.90000000000000047
100000,0.05,2,0.97,5028,3432,3289,0.683,0.654,0.90000000000000047
100000,0.05,1,0.97,5028,0,0,0.0,0.0,0.90000000000000047
100000,0.05,11,0.97,5042,2321,2286,0.46,0.453,0.87500000000000044
100000,0.05,10,0.97,5042,2569,2525,0.51,0.501,0.87500000000000044
100000,0.05,9,0.97,5042,2842,2800,0.564,0.555,0.87500000000000044
100000,0.05,8,0.97,5042,3157,3098,0.626,0.614,0.87500000000000044
100000,0.05,7,0.97,5042,3458,3382,0.686,0.671,0.87500000000000044
100000,0.05,6,0.97,5042,3707,3607,0.735,0.715,0.87500000000000044
100000,0.05,5,0.97,5042,3895,3773,0.773,0.748,0.87500000000000044
100000,0.05,4,0.97,5042,3956,3821,0.785,0.758,0.87500000000000044
100000,0.05,3,0.97,5042,3948,3764,0.783,0.746,0.87500000000000044
100000,0.05,2,0.97,5042,3398,3238,0.674,0.642,0.87500000000000044
100000,0.05,1,0.97,5042,0,0,0.0,0.0,0.87500000000000044
100000,0.05,11,0.97,4907,2056,2026,0.419,0.413,0.85000000000000042
100000,0.05,10,0.97,4907,2310,2273,0.471,0.463,0.85000000000000042
100000,0.05,9,0.97,4907,2593,2541,0.528,0.518,0.85000000000000042
100000,0.05,8,0.97,4907,2863,2800,0.583,0.57,0.85000000000000042
100000,0.05,7,0.97,4907,3209,3138,0.654,0.639,0.85000000000000042
100000,0.05,6,0.97,4907,3506,3401,0.714,0.693,0.85000000000000042
100000,0.05,5,0.97,4907,3727,3595,0.76,0.732,0.85000000000000042
100000,0.05,4,0.97,4907,3799,3655,0.774,0.745,0.85000000000000042
100000,0.05,3,0.97,4907,3781,3561,0.771,0.726,0.85000000000000042
100000,0.05,2,0.97,4907,3228,3066,0.658,0.625,0.85000000000000042
100000,0.05,1,0.97,4907,0,0,0.0,0.0,0.85000000000000042
100000,0.05,11,0.97,4975,2129,2100,0.428,0.422,0.8250000000000004
100000,0.05,10,0.97,4975,2351,2325,0.473,0.467,0.8250000000000004
100000,0.05,9,0.97,4975,2616,2582,0.526,0.519,0.8250000000000004
100000,0.05,8,0.97,4975,2895,2844,0.582,0.572,0.8250000000000004
100000,0.05,7,0.97,4975,3138,3085,0.631,0.62,0.8250000000000004
100000,0.05,6,0.97,4975,3395,3324,0.682,0.668,0.8250000000000004
100000,0.05,5,0.97,4975,3640,3534,0.732,0.71,0.8250000000000004
100000,0.05,4,0.97,4975,3730,3595,0.75,0.722,0.8250000000000004
100000,0.05,3,0.97,4975,3697,3484,0.743,0.7,0.8250000000000004
100000,0.05,2,0.97,4975,3275,3080,0.658,0.619,0.8250000000000004
100000,0.05,1,0.97,4975,0,0,0.0,0.0,0.8250000000000004
100000,0.05,11,0.97,4941,2122,2091,0.429,0.423,0.80000000000000038
100000,0.05,10,0.97,4941,2340,2302,0.474,0.466,0.80000000000000038
100000,0.05,9,0.97,4941,2555,2511,0.517,0.508,0.80000000000000038
100000,0.05,8,0.97,4941,2827,2764,0.572,0.559,0.80000000000000038
100000,0.05,7,0.97,4941,3090,3016,0.625,0.61,0.80000000000000038
100000,0.05,6,0.97,4941,3342,3242,0.676,0.656,0.80000000000000038
100000,0.05,5,0.97,4941,3547,3418,0.718,0.692,0.80000000000000038
100000,0.05,4,0.97,4941,3643,3474,0.737,0.703,0.80000000000000038
100000,0.05,3,0.97,4941,3637,3342,0.736,0.676,0.80000000000000038
100000,0.05,2,0.97,4941,3259,2999,0.66,0.607,0.80000000000000038
100000,0.05,1,0.97,4941,0,0,0.0,0.0,0.80000000000000038
