InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes
100000,0.05,12,0.58,4976,0,0,0.0,0.0
100000,0.1,6,0.58,9997,6,2,0.001,0.0
100000,0.05,11,0.58,4976,0,0,0.0,0.0
100000,0.1,5,0.58,9997,102,27,0.01,0.003
100000,0.05,10,0.58,4976,0,0,0.0,0.0
100000,0.1,4,0.58,9997,283,74,0.028,0.007
100000,0.05,9,0.58,4976,0,0,0.0,0.0
100000,0.1,3,0.58,9997,0,0,0.0,0.0
100000,0.1,2,0.58,9997,0,0,0.0,0.0
100000,0.05,8,0.58,4976,0,0,0.0,0.0
100000,0.1,1,0.58,9997,0,0,0.0,0.0
100000,0.05,7,0.58,4976,0,0,0.0,0.0
100000,0.05,6,0.58,4976,0,0,0.0,0.0
100000,0.1,19,0.55,9908,0,0,0.0,0.0
100000,0.05,5,0.58,4976,3,1,0.001,0.0
100000,0.1,18,0.55,9908,0,0,0.0,0.0
100000,0.05,4,0.58,4976,23,6,0.005,0.001
100000,0.1,17,0.55,9908,0,0,0.0,0.0
100000,0.05,3,0.58,4976,0,0,0.0,0.0
100000,0.1,16,0.55,9908,0,0,0.0,0.0
100000,0.05,2,0.58,4976,0,0,0.0,0.0
100000,0.1,15,0.55,9908,0,0,0.0,0.0
100000,0.05,1,0.58,4976,0,0,0.0,0.0
100000,0.1,14,0.55,9908,0,0,0.0,0.0
100000,0.1,13,0.55,9908,0,0,0.0,0.0
100000,0.05,19,0.55,4990,0,0,0.0,0.0
100000,0.05,18,0.55,4990,0,0,0.0,0.0
100000,0.1,12,0.55,9908,0,0,0.0,0.0
100000,0.05,17,0.55,4990,0,0,0.0,0.0
100000,0.1,11,0.55,9908,0,0,0.0,0.0
100000,0.05,16,0.55,4990,0,0,0.0,0.0
100000,0.1,10,0.55,9908,0,0,0.0,0.0
100000,0.05,15,0.55,4990,0,0,0.0,0.0
100000,0.1,9,0.55,9908,0,0,0.0,0.0
100000,0.05,14,0.55,4990,0,0,0.0,0.0
100000,0.1,8,0.55,9908,0,0,0.0,0.0
100000,0.05,13,0.55,4990,0,0,0.0,0.0
100000,0.1,7,0.55,9908,0,0,0.0,0.0
100000,0.05,12,0.55,4990,0,0,0.0,0.0
100000,0.1,6,0.55,9908,0,0,0.0,0.0
100000,0.1,5,0.55,9908,40,8,0.004,0.001
100000,0.05,11,0.55,4990,0,0,0.0,0.0
100000,0.05,10,0.55,4990,0,0,0.0,0.0
100000,0.1,4,0.55,9908,235,49,0.024,0.005
100000,0.05,9,0.55,4990,0,0,0.0,0.0
100000,0.1,3,0.55,9908,0,0,0.0,0.0
100000,0.05,8,0.55,4990,0,0,0.0,0.0
100000,0.1,2,0.55,9908,0,0,0.0,0.0
100000,0.05,7,0.55,4990,0,0,0.0,0.0
100000,0.1,1,0.55,9908,0,0,0.0,0.0
100000,0.05,6,0.55,4990,0,0,0.0,0.0
100000,0.1,19,0.53,9837,0,0,0.0,0.0
100000,0.05,5,0.55,4990,1,0,0.0,0.0
100000,0.1,18,0.53,9837,0,0,0.0,0.0
100000,0.05,4,0.55,4990,14,2,0.003,0.0
100000,0.1,17,0.53,9837,0,0,0.0,0.0
100000,0.05,3,0.55,4990,2,0,0.0,0.0
100000,0.1,16,0.53,9837,0,0,0.0,0.0
100000,0.05,2,0.55,4990,0,0,0.0,0.0
100000,0.1,15,0.53,9837,0,0,0.0,0.0
100000,0.05,1,0.55,4990,0,0,0.0,0.0
100000,0.1,14,0.53,9837,0,0,0.0,0.0
100000,0.05,19,0.53,5026,0,0,0.0,0.0
100000,0.1,13,0.53,9837,0,0,0.0,0.0
100000,0.05,18,0.53,5026,0,0,0.0,0.0
100000,0.1,12,0.53,9837,0,0,0.0,0.0
100000,0.05,17,0.53,5026,0,0,0.0,0.0
100000,0.1,11,0.53,9837,0,0,0.0,0.0
100000,0.05,16,0.53,5026,0,0,0.0,0.0
100000,0.1,10,0.53,9837,0,0,0.0,0.0
100000,0.05,15,0.53,5026,0,0,0.0,0.0
100000,0.1,9,0.53,9837,0,0,0.0,0.0
100000,0.05,14,0.53,5026,0,0,0.0,0.0
100000,0.1,8,0.53,9837,0,0,0.0,0.0
100000,0.05,13,0.53,5026,0,0,0.0,0.0
100000,0.1,7,0.53,9837,0,0,0.0,0.0
100000,0.05,12,0.53,5026,0,0,0.0,0.0
100000,0.1,6,0.53,9837,0,0,0.0,0.0
100000,0.05,11,0.53,5026,0,0,0.0,0.0
100000,0.1,5,0.53,9837,14,5,0.001,0.001
100000,0.05,10,0.53,5026,0,0,0.0,0.0
100000,0.1,4,0.53,9837,222,45,0.023,0.005
100000,0.05,9,0.53,5026,0,0,0.0,0.0
100000,0.1,3,0.53,9837,0,0,0.0,0.0
100000,0.05,8,0.53,5026,0,0,0.0,0.0
100000,0.1,2,0.53,9837,0,0,0.0,0.0
100000,0.05,7,0.53,5026,0,0,0.0,0.0
100000,0.1,1,0.53,9837,0,0,0.0,0.0
100000,0.05,6,0.53,5026,0,0,0.0,0.0
100000,0.1,19,0.5,10019,0,0,0.0,0.0
100000,0.05,5,0.53,5026,0,0,0.0,0.0
100000,0.1,18,0.5,10019,0,0,0.0,0.0
100000,0.05,4,0.53,5026,4,0,0.001,0.0
100000,0.05,3,0.53,5026,1,0,0.0,0.0
100000,0.1,17,0.5,10019,0,0,0.0,0.0
100000,0.05,2,0.53,5026,0,0,0.0,0.0
100000,0.1,16,0.5,10019,0,0,0.0,0.0
100000,0.05,1,0.53,5026,0,0,0.0,0.0
100000,0.1,15,0.5,10019,0,0,0.0,0.0
100000,0.05,19,0.5,5009,0,0,0.0,0.0
100000,0.1,14,0.5,10019,0,0,0.0,0.0
100000,0.1,13,0.5,10019,0,0,0.0,0.0
100000,0.05,18,0.5,5009,0,0,0.0,0.0
100000,0.1,12,0.5,10019,0,0,0.0,0.0
100000,0.05,17,0.5,5009,0,0,0.0,0.0
100000,0.1,11,0.5,10019,0,0,0.0,0.0
100000,0.05,16,0.5,5009,0,0,0.0,0.0
100000,0.05,15,0.5,5009,0,0,0.0,0.0
100000,0.1,10,0.5,10019,0,0,0.0,0.0
100000,0.05,14,0.5,5009,0,0,0.0,0.0
100000,0.1,9,0.5,10019,0,0,0.0,0.0
100000,0.1,8,0.5,10019,0,0,0.0,0.0
100000,0.05,13,0.5,5009,0,0,0.0,0.0
100000,0.1,7,0.5,10019,0,0,0.0,0.0
100000,0.05,12,0.5,5009,0,0,0.0,0.0
100000,0.1,6,0.5,10019,0,0,0.0,0.0
100000,0.05,11,0.5,5009,0,0,0.0,0.0
100000,0.1,5,0.5,10019,1,0,0.0,0.0
100000,0.05,10,0.5,5009,0,0,0.0,0.0
100000,0.1,4,0.5,10019,179,31,0.018,0.003
100000,0.05,9,0.5,5009,0,0,0.0,0.0
100000,0.1,3,0.5,10019,7,1,0.001,0.0
100000,0.05,8,0.5,5009,0,0,0.0,0.0
100000,0.1,2,0.5,10019,0,0,0.0,0.0
100000,0.05,7,0.5,5009,0,0,0.0,0.0
100000,0.1,1,0.5,10019,0,0,0.0,0.0
100000,0.05,6,0.5,5009,0,0,0.0,0.0
100000,0.05,5,0.5,5009,0,0,0.0,0.0
100000,0.1,19,0.48,10059,0,0,0.0,0.0
100000,0.05,4,0.5,5009,5,1,0.001,0.0
100000,0.1,18,0.48,10059,0,0,0.0,0.0
100000,0.05,3,0.5,5009,4,1,0.001,0.0
100000,0.1,17,0.48,10059,0,0,0.0,0.0
100000,0.1,16,0.48,10059,0,0,0.0,0.0
100000,0.05,2,0.5,5009,0,0,0.0,0.0
100000,0.1,15,0.48,10059,0,0,0.0,0.0
100000,0.05,1,0.5,5009,0,0,0.0,0.0
100000,0.05,19,0.48,4922,0,0,0.0,0.0
100000,0.1,14,0.48,10059,0,0,0.0,0.0
100000,0.05,18,0.48,4922,0,0,0.0,0.0
100000,0.1,13,0.48,10059,0,0,0.0,0.0
100000,0.05,17,0.48,4922,0,0,0.0,0.0
100000,0.1,12,0.48,10059,0,0,0.0,0.0
100000,0.05,16,0.48,4922,0,0,0.0,0.0
100000,0.1,11,0.48,10059,0,0,0.0,0.0
100000,0.05,15,0.48,4922,0,0,0.0,0.0
100000,0.1,10,0.48,10059,0,0,0.0,0.0
100000,0.1,9,0.48,10059,0,0,0.0,0.0
100000,0.05,14,0.48,4922,0,0,0.0,0.0
100000,0.1,8,0.48,10059,0,0,0.0,0.0
100000,0.05,13,0.48,4922,0,0,0.0,0.0
100000,0.1,7,0.48,10059,0,0,0.0,0.0
100000,0.05,12,0.48,4922,0,0,0.0,0.0
100000,0.1,6,0.48,10059,0,0,0.0,0.0
100000,0.05,11,0.48,4922,0,0,0.0,0.0
100000,0.1,5,0.48,10059,1,0,0.0,0.0
100000,0.05,10,0.48,4922,0,0,0.0,0.0
100000,0.1,4,0.48,10059,98,15,0.01,0.001
100000,0.05,9,0.48,4922,0,0,0.0,0.0
100000,0.1,3,0.48,10059,7,1,0.001,0.0
100000,0.05,8,0.48,4922,0,0,0.0,0.0
100000,0.1,2,0.48,10059,0,0,0.0,0.0
100000,0.05,7,0.48,4922,0,0,0.0,0.0
100000,0.1,1,0.48,10059,0,0,0.0,0.0
100000,0.05,6,0.48,4922,0,0,0.0,0.0
100000,0.1,19,0.45,10003,0,0,0.0,0.0
100000,0.05,5,0.48,4922,0,0,0.0,0.0
100000,0.1,18,0.45,10003,0,0,0.0,0.0
100000,0.05,4,0.48,4922,4,1,0.001,0.0
100000,0.05,3,0.48,4922,1,0,0.0,0.0
100000,0.1,17,0.45,10003,0,0,0.0,0.0
100000,0.05,2,0.48,4922,0,0,0.0,0.0
100000,0.1,16,0.45,10003,0,0,0.0,0.0
100000,0.05,1,0.48,4922,0,0,0.0,0.0
100000,0.1,15,0.45,10003,0,0,0.0,0.0
100000,0.05,19,0.45,5005,0,0,0.0,0.0
100000,0.1,14,0.45,10003,0,0,0.0,0.0
100000,0.05,18,0.45,5005,0,0,0.0,0.0
100000,0.1,13,0.45,10003,0,0,0.0,0.0
100000,0.1,12,0.45,10003,0,0,0.0,0.0
100000,0.05,17,0.45,5005,0,0,0.0,0.0
100000,0.1,11,0.45,10003,0,0,0.0,0.0
100000,0.05,16,0.45,5005,0,0,0.0,0.0
100000,0.05,15,0.45,5005,0,0,0.0,0.0
100000,0.1,10,0.45,10003,0,0,0.0,0.0
100000,0.05,14,0.45,5005,0,0,0.0,0.0
100000,0.1,9,0.45,10003,0,0,0.0,0.0
100000,0.05,13,0.45,5005,0,0,0.0,0.0
100000,0.1,8,0.45,10003,0,0,0.0,0.0
100000,0.05,12,0.45,5005,0,0,0.0,0.0
100000,0.1,7,0.45,10003,0,0,0.0,0.0
100000,0.05,11,0.45,5005,0,0,0.0,0.0
100000,0.1,6,0.45,10003,0,0,0.0,0.0
100000,0.05,10,0.45,5005,0,0,0.0,0.0
100000,0.1,5,0.45,10003,0,0,0.0,0.0
100000,0.05,9,0.45,5005,0,0,0.0,0.0
100000,0.1,4,0.45,10003,54,5,0.005,0.0
100000,0.05,8,0.45,5005,0,0,0.0,0.0
100000,0.1,3,0.45,10003,19,3,0.002,0.0
100000,0.05,7,0.45,5005,0,0,0.0,0.0
100000,0.1,2,0.45,10003,0,0,0.0,0.0
100000,0.05,6,0.45,5005,0,0,0.0,0.0
100000,0.1,1,0.45,10003,0,0,0.0,0.0
100000,0.05,5,0.45,5005,0,0,0.0,0.0
100000,0.05,4,0.45,5005,1,0,0.0,0.0
100000,0.1,19,0.43,10072,0,0,0.0,0.0
100000,0.05,3,0.45,5005,0,0,0.0,0.0
100000,0.1,18,0.43,10072,0,0,0.0,0.0
100000,0.05,2,0.45,5005,0,0,0.0,0.0
100000,0.1,17,0.43,10072,0,0,0.0,0.0
100000,0.05,1,0.45,5005,0,0,0.0,0.0
100000,0.1,16,0.43,10072,0,0,0.0,0.0
100000,0.05,19,0.43,4994,0,0,0.0,0.0
100000,0.1,15,0.43,10072,0,0,0.0,0.0
100000,0.05,18,0.43,4994,0,0,0.0,0.0
100000,0.1,14,0.43,10072,0,0,0.0,0.0
100000,0.05,17,0.43,4994,0,0,0.0,0.0
100000,0.1,13,0.43,10072,0,0,0.0,0.0
100000,0.05,16,0.43,4994,0,0,0.0,0.0
100000,0.1,12,0.43,10072,0,0,0.0,0.0
100000,0.05,15,0.43,4994,0,0,0.0,0.0
100000,0.1,11,0.43,10072,0,0,0.0,0.0
100000,0.05,14,0.43,4994,0,0,0.0,0.0
100000,0.1,10,0.43,10072,0,0,0.0,0.0
100000,0.05,13,0.43,4994,0,0,0.0,0.0
100000,0.1,9,0.43,10072,0,0,0.0,0.0
